코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
0010F0,보원케미칼,5.8984375,0.0,249.0,2230.0,,,,,10.9,-114.2,206.0,-91.0,,,,,False,,,False,False,False,False,1.599609375,4.3,85,9.4,-31.2,80.3,-27.7,-73.76,0.0,0.12,15,True,4.163,85,False,False,False,False,5.12109375,0.78,308,1.7,-0.0,-1.8,,-30.42,0.0,-0.08,,False,0.825,278,False,False,False,True,5.26953125,0.63,81,1.5,-0.0,-1.5,,3.72,0.0,-0.0,,False,0.645,54,False,False,False,True,지속
0010V0,제이피아이헬스케어,0.97998046875,0.64,408.0,8000.0,,2.890625,-1.91,1620,-13.6,-0.7,12.9,0.0,-42.2,0.0,-0.52,377,False,-1.71,1629,False,False,False,False,1.490234375,-0.51,1169,-2.4,-0.8,0.8,,-36.51,0.0,-0.32,,False,-0.439,1128,False,False,False,False,1.1904296875,-0.21,1309,-0.5,-0.0,-1.4,,-3.61,0.0,-0.12,,False,-0.097,1134,False,False,False,True,1.099609375,-0.12,1475,-0.1,-0.0,-1.5,,8.99,0.0,-0.09,,False,-0.031,1188,False,False,False,True,스파이크
0011A0,액스비스,6.03125,2.3,868.0,9300.0,,,,,-14.5,-137.9,625.6,-53.5,,,,,False,,,False,False,False,False,2.189453125,3.84,102,37.6,-75.9,116.4,-26.7,-61.33,0.0,0.28,33,False,3.709,108,False,False,False,False,5.4609375,0.57,407,3.7,-9.3,8.7,-4.4,-34.83,0.0,0.36,223,False,0.373,506,False,False,False,False,6.21875,-0.19,1565,-2.8,0.8,2.0,-0.2,2.42,0.0,0.12,229,False,-0.319,1571,False,False,True,False,
0011T0,채비,3.80078125,2.89,2470.0,5260.0,,,,,-421.9,-638.8,1529.6,-257.3,,,,,False,,,False,False,False,False,,,,-421.9,-638.8,1529.6,-257.3,,,,,False,,,False,False,False,False,4.23046875,-0.43,1461,-21.2,-1.3,26.4,0.2,-43.8,0.0,0.3,217,False,-0.634,1510,False,False,False,False,3.76953125,0.03,799,-3.1,-0.0,3.0,-0.0,-5.05,0.0,0.14,382,False,-0.108,1376,False,False,False,False,
0013V0,삼진식품,2.759765625,1.19,500.0,5040.0,,0.320068359375,2.44,268,-1.8,-26.4,90.0,-17.2,-51.4,0.0,0.36,44,False,2.015,338,False,False,False,False,2.109375,0.65,464,-0.5,-9.0,10.3,-8.4,-35.3,0.0,0.08,584,False,0.641,460,False,False,False,False,1.4404296875,1.32,174,6.8,2.3,-9.3,2.5,-11.42,0.0,-0.1,,False,1.376,157,False,False,True,True,2.69921875,0.06,693,1.0,-0.0,-1.0,-0.0,2.34,0.0,-0.13,,False,0.187,344,False,False,False,True,
001540,안국약품,4.98046875,0.8,1521.0,11660.0,,5.078125,-0.1,1119,-2.1,4.4,-6.1,4.9,46.3,0.0,-0.06,,False,-0.5,1352,False,False,True,True,3.439453125,1.54,294,13.9,4.8,-19.0,5.1,42.54,0.0,0.23,,False,1.056,365,False,False,True,True,3.880859375,1.1,215,13.2,-2.0,-4.4,-0.6,6.87,0.0,0.52,,False,0.967,237,False,False,False,True,4.5,0.48,132,3.0,-0.8,-1.1,-0.4,6.58,0.0,0.36,,False,0.189,339,False,False,False,True,
0015G0,그린광학,6.53125,2.87,1881.0,16070.0,,1.0498046875,5.48,89,129.5,-284.1,165.0,-184.3,-38.55,0.0,1.25,192,False,4.291,142,False,True,False,False,3.669921875,2.86,163,75.6,-45.4,-18.9,-35.0,-48.08,0.0,-0.01,,False,2.894,159,False,False,False,True,6.44140625,0.09,754,3.7,6.6,-9.9,1.7,-16.21,0.0,-0.15,,False,0.274,583,False,False,True,True,6.28125,0.25,311,3.5,3.5,-6.8,0.4,9.99,0.0,0.1,,False,0.159,399,False,False,True,True,
0015N0,아로마티카,5.171875,1.55,660.0,5250.0,,1.4501953125,3.72,169,10.5,-64.3,54.9,-34.3,-43.06,-1.09,0.62,198,False,3.053,233,True,False,False,False,4.1484375,1.02,380,-5.2,-30.0,34.8,-14.3,-47.45,-1.09,0.28,163,False,0.739,427,True,False,False,False,4.9609375,0.21,643,-1.8,-9.0,10.1,0.2,-9.95,-1.09,-0.05,155,False,0.242,614,True,False,False,False,3.66015625,1.51,15,3.8,0.5,-3.9,0.5,6.17,0.0,0.94,,False,0.574,69,False,False,True,True,
0015S0,페스카로,3.109375,1.11,691.0,7000.0,,0.47998046875,2.63,254,1.6,-72.8,94.5,-9.6,-62.0,2.11,0.65,184,False,1.965,351,True,False,False,False,2.240234375,0.87,406,6.3,-7.8,2.8,-2.5,-56.36,2.11,-0.42,,False,1.36,304,True,False,False,False,2.33984375,0.77,313,6.1,0.0,-6.3,0.0,-29.08,0.0,-0.05,,False,0.843,267,False,False,False,True,2.83984375,0.27,292,1.5,-0.0,-1.5,-0.0,1.74,0.0,0.07,,False,0.204,314,False,False,False,True,지속
0017J0,세미티에스,1.25,0.0,901.0,2990.0,,,,,-8.3,-153.2,274.0,-25.7,,,,,False,,,False,False,False,False,,,,-8.3,-153.2,274.0,-25.7,,,,,False,,,False,False,False,False,1.41015625,-0.16,1247,-4.3,-0.4,19.1,-1.0,-47.36,0.0,-0.25,117,False,0.071,807,False,False,False,False,0.2099609375,1.04,35,8.3,-3.5,5.3,0.3,-15.18,0.0,0.27,120,False,0.805,38,False,False,False,False,
001810,무림SP,0.66015625,0.13,261.0,1180.0,,0.64013671875,0.02,963,0.1,-0.3,6.9,-0.0,-19.12,0.0,-0.21,498,False,0.212,902,False,False,False,False,0.60986328125,0.05,701,0.4,0.0,2.4,,-45.87,0.0,-0.21,697,False,0.215,618,False,False,False,False,1.1904296875,-0.53,1516,-0.5,-0.0,-0.1,,-1.17,0.0,-0.34,,False,-0.199,1247,False,False,False,True,0.759765625,-0.1,1452,-0.1,0.0,0.1,,0.43,0.0,-0.05,500,False,-0.053,1264,False,False,False,False,
001840,이화공영,0.56982421875,4.03,626.0,2215.0,,1.0498046875,-0.48,1293,,,,,37.07,26.81,-0.26,,False,,,True,False,False,False,0.60009765625,-0.03,880,,,,,0.0,0.0,-0.03,,False,,,False,False,False,False,0.56982421875,0.0,913,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.56982421875,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
002230,피에스텍,8.046875,0.56,838.0,4550.0,,4.8203125,3.23,199,22.5,-1.9,-21.4,-0.0,-59.59,-4.42,0.1,,False,2.837,257,True,False,False,True,5.3984375,2.65,183,25.4,-0.0,-26.0,-0.0,-51.28,-4.42,0.1,,False,2.222,206,True,False,False,True,7.828125,0.22,630,1.4,-0.0,-2.1,,-18.75,-1.52,-0.11,,False,0.205,655,True,False,False,True,7.76171875,0.29,270,1.1,0.0,-1.1,,2.36,-1.52,0.04,,False,0.127,482,True,False,False,True,지속
002290,삼일기업공사,5.83984375,0.55,407.0,3280.0,,4.859375,0.98,543,-5.0,24.2,-19.0,22.5,-5.88,0.0,2.02,,False,-1.046,1519,False,True,True,True,5.69140625,0.15,644,-8.8,8.7,0.0,7.1,-18.81,0.0,1.97,884,False,-1.822,1586,False,True,True,False,4.12890625,1.71,113,0.2,0.1,-0.3,,-6.02,0.0,1.66,,False,0.048,844,False,True,True,True,5.8515625,-0.01,1155,-0.3,0.0,0.2,,-1.8,0.0,0.06,484,False,-0.069,1303,False,False,False,False,
002680,한탑,0.09002685546875,0.32,157.0,2430.0,,1.2197265625,-1.13,1492,-0.1,-0.3,0.2,-0.0,245.17,-80.0,-6.52,,False,-0.173,1188,True,True,False,False,5.0703125,-4.98,1786,-8.3,0.0,8.2,,227.49,-80.0,-7.04,111,False,-3.781,1728,True,True,False,False,1.490234375,-1.4,1702,-0.4,0.0,0.8,,531.17,-80.0,-7.29,640,False,0.034,859,True,True,False,False,1.4296875,-1.34,1790,-0.5,0.0,0.9,,549.73,-80.0,-6.6,424,False,-0.048,1252,True,True,False,False,
002800,신신제약,4.73046875,0.87,653.0,4305.0,,4.30859375,0.42,716,2.2,2.3,-3.5,1.7,-25.65,0.0,0.29,,False,0.273,864,False,False,True,True,6.48046875,-1.75,1574,-16.0,2.0,14.6,1.5,-27.03,0.0,0.03,321,False,-1.707,1560,False,False,True,False,3.619140625,1.11,212,5.1,-0.2,-4.8,,-4.86,0.0,0.31,,False,0.795,289,False,False,False,True,4.671875,0.06,693,1.3,-0.0,-1.2,,1.53,0.0,-0.13,,False,0.197,325,False,False,False,True,스파이크
003100,선광,8.0,0.29,1298.0,19670.0,,3.91015625,4.09,148,56.4,-2.7,-1.7,-0.4,3.64,0.0,0.35,,False,3.766,177,False,False,False,True,5.640625,2.36,204,34.4,-5.5,-14.5,-0.1,-6.78,0.0,0.18,,False,2.188,207,False,False,False,True,7.140625,0.86,281,9.9,-1.5,-8.6,-0.1,2.45,0.0,0.07,,False,0.784,293,False,False,False,True,7.62890625,0.37,199,3.9,-0.2,-3.7,-0.0,4.74,0.0,0.06,,False,0.307,185,False,False,False,True,
