코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
045060,오공,3.80078125,0.31,373.0,2200.0,,2.30078125,1.5,410,1.6,0.3,-20.5,0.0,-6.58,0.0,-0.34,,False,0.43,785,False,False,True,True,2.25,1.55,292,2.0,-0.1,-23.0,0.0,-8.52,0.0,-0.39,,False,0.541,492,False,False,False,True,3.240234375,0.56,411,1.2,-2.0,-11.0,-0.4,5.52,0.0,-0.37,,False,0.347,523,False,False,False,True,3.529296875,0.27,292,0.1,-0.2,-0.2,-0.0,0.23,0.0,0.23,,False,0.038,787,False,False,False,True,지속
045100,한양이엔지,18.0,0.8,5390.0,30800.0,,17.046875,0.95,551,141.2,85.2,20.1,8.6,32.76,-2.78,-1.89,459,False,2.285,304,True,True,True,False,15.9609375,2.04,233,53.5,128.0,-174.2,65.2,-9.94,0.0,1.22,,False,0.821,410,False,True,True,True,18.9375,-0.94,1644,-37.1,114.0,-71.4,23.1,-6.38,0.0,-0.28,,False,-0.657,1520,False,False,True,True,18.078125,-0.08,1395,-9.0,13.6,-4.5,-2.6,6.76,0.0,0.06,,False,-0.141,1430,False,False,True,True,
045300,성우테크론,3.19921875,0.34,260.0,2465.0,,1.849609375,1.35,449,3.6,-1.3,-4.4,,-20.48,1.93,0.21,,False,1.195,495,True,False,False,True,3.0390625,0.16,641,0.1,-0.2,0.2,,-20.99,0.0,0.08,836,False,0.067,696,False,False,False,False,3.140625,0.06,788,0.5,-0.2,0.1,,-16.3,0.0,-0.14,649,False,0.195,664,False,False,False,False,3.099609375,0.1,592,0.3,-0.0,0.0,,1.44,0.0,-0.04,656,False,0.139,455,False,False,False,False,
045340,토탈소프트,6.3984375,1.51,554.0,6470.0,,7.94921875,-1.55,1576,1.2,21.6,-27.5,0.9,-7.83,0.0,-1.8,,False,0.134,950,False,True,True,True,5.96875,0.43,536,4.7,8.4,-16.1,0.6,-15.65,0.0,-0.49,,False,0.764,417,False,False,True,True,6.6015625,-0.2,1303,-1.1,-0.2,0.2,-0.0,-11.97,0.0,-0.08,598,False,-0.182,1231,False,False,False,False,6.328125,0.07,665,0.5,-0.0,-0.8,,-1.82,0.0,-0.01,,False,0.085,612,False,False,False,True,
045390,대아티아이,5.48046875,1.17,1801.0,2555.0,,5.578125,-0.1,1119,6.4,1.7,-18.4,-0.6,-39.6,0.0,-0.3,,False,0.246,873,False,False,True,True,6.671875,-1.19,1446,-56.9,0.1,44.7,-0.6,-45.52,0.0,0.59,353,False,-1.806,1583,False,False,True,False,5.5390625,-0.06,1142,1.3,-0.8,1.2,-0.3,-23.73,0.0,-0.07,645,False,0.12,750,False,False,False,False,5.26171875,0.22,348,2.2,0.0,-2.5,,0.59,0.0,0.1,,False,0.118,512,False,False,False,True,
045510,정원엔시스,1.0498046875,0.53,245.0,761.0,,0.60009765625,0.45,709,-0.8,-0.1,0.1,-0.1,-15.82,0.0,-0.05,,False,0.383,805,False,False,False,False,0.97998046875,0.07,683,-1.0,-0.0,-0.4,-0.0,-24.05,0.0,0.09,,False,-0.097,888,False,False,False,True,1.4599609375,-0.41,1449,-0.7,0.0,0.8,,-8.75,0.0,-0.2,406,False,-0.251,1297,False,False,False,False,1.0400390625,0.01,867,0.0,-0.0,-0.0,,5.11,0.0,-0.02,,False,0.017,889,False,False,False,False,
045520,크린앤사이언스,3.939453125,1.05,188.0,2895.0,,2.830078125,1.11,507,1.7,-1.8,-2.4,,-11.2,0.0,-0.08,,False,1.165,503,False,False,False,True,2.939453125,1.0,383,0.4,-0.0,-2.8,,-13.06,0.0,0.46,,False,0.502,506,False,False,False,True,3.26953125,0.67,356,-0.1,-0.0,-1.9,,-10.09,0.0,0.57,,False,0.241,615,False,False,False,True,3.990234375,-0.05,1326,-0.1,0.0,-0.1,,2.84,0.0,0.01,,False,-0.049,1255,False,False,False,True,
045660,에이텍,5.828125,0.58,638.0,7730.0,,6.37109375,-0.54,1316,4.5,0.3,-39.3,0.3,-22.0,0.0,-0.83,,False,0.285,852,False,False,True,True,7.46875,-1.64,1556,-15.4,0.1,-19.2,0.1,-25.02,0.0,0.44,,False,-2.067,1622,False,False,True,True,5.9296875,-0.1,1188,-0.3,0.0,-11.1,,-9.8,0.0,-0.05,,False,-0.043,1051,False,False,False,True,5.5703125,0.26,305,1.3,0.0,-1.3,,-0.77,0.0,0.05,,False,0.204,314,False,False,False,True,스파이크
045970,코아시아,5.98828125,0.94,767.0,2915.0,,5.671875,0.32,767,33.6,2.9,-31.7,1.2,-46.9,0.0,-0.3,,False,0.767,651,False,False,True,True,7.921875,-1.93,1611,-13.9,3.3,10.5,2.9,-45.72,0.0,0.24,262,False,-2.188,1640,False,False,True,False,7.71875,-1.73,1736,-13.7,0.7,13.2,0.7,-25.92,0.0,0.07,77,False,-1.804,1697,False,False,True,False,6.23828125,-0.25,1628,-1.1,-0.0,1.1,,0.87,0.0,-0.08,302,False,-0.171,1463,False,False,False,False,
046070,코다코,0.1099853515625,11.62,1592.0,10280.0,,0.1099853515625,0.0,987,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.1099853515625,0.0,771,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.1099853515625,0.0,913,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.1099853515625,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
046120,오르비텍,8.453125,2.01,1552.0,4585.0,,5.76953125,2.68,248,-33.4,30.9,7.4,-3.5,12.93,22.21,-0.82,,False,5.068,108,True,False,True,False,2.439453125,6.01,38,145.3,5.4,-152.4,-4.6,-60.17,2.92,-1.26,,False,7.49,18,True,True,True,True,4.30859375,4.14,30,80.9,-30.7,-49.9,0.9,-38.04,0.0,-0.26,,False,4.428,20,False,False,False,True,6.859375,1.59,14,24.6,-30.8,6.2,,-4.58,0.0,0.12,165,False,1.477,14,False,False,False,False,지속
046210,HLB파나진,0.919921875,0.76,550.0,1207.0,,1.7900390625,-0.87,1424,-7.4,0.2,2.0,0.1,-31.03,0.13,-0.16,659,False,-0.772,1446,False,False,True,False,1.7197265625,-0.8,1307,-5.4,-0.1,4.6,-0.1,-52.85,0.13,-0.08,610,False,-0.775,1291,False,False,False,False,1.76953125,-0.85,1631,-6.0,0.0,4.1,,-18.56,0.0,-0.13,345,False,-0.744,1552,False,False,False,False,1.41015625,-0.49,1720,-4.5,0.0,3.1,,-18.5,0.0,0.01,211,False,-0.53,1639,False,False,False,False,
046310,백금T&A,4.87890625,0.52,392.0,2385.0,,3.08984375,1.79,366,7.5,14.9,-14.0,1.3,-46.04,0.0,0.28,,False,1.408,451,False,False,True,True,4.921875,-0.04,893,-6.4,10.3,0.3,1.3,-24.76,0.0,0.79,,False,-0.929,1352,False,False,True,False,4.83984375,0.04,825,0.8,1.8,-2.6,,8.66,0.0,-0.26,,False,0.245,608,False,False,True,True,4.8203125,0.06,693,0.7,1.5,-2.2,,18.36,0.0,-0.12,,False,0.181,357,False,False,True,True,스파이크
046390,삼화네트웍스,0.469970703125,0.52,335.0,1941.0,,2.51953125,-2.05,1636,-7.9,27.3,-19.5,-0.0,71.77,-60.0,-3.45,,False,-0.976,1503,True,True,True,True,1.9296875,-1.46,1514,-5.4,12.7,-7.3,-0.2,89.55,-60.0,-2.96,,False,-0.57,1191,True,True,True,True,0.990234375,-0.52,1508,-2.9,11.9,-8.8,,30.09,0.0,0.1,,False,-0.648,1517,False,False,True,True,0.43994140625,0.03,799,0.1,2.5,-2.5,,3.08,0.0,-0.0,,False,0.032,810,False,False,True,True,
046440,KG파이낸셜,4.69140625,0.41,1532.0,4030.0,,4.640625,0.05,929,7.8,9.3,-20.7,0.2,-11.04,0.0,-0.39,,False,0.352,819,False,False,True,True,4.75,-0.06,905,-6.8,-3.1,8.2,0.0,-26.33,0.0,0.3,644,False,-0.431,1122,False,False,False,False,4.5703125,0.12,726,0.4,-1.0,-1.1,-0.2,-5.18,0.0,0.05,,False,0.026,879,False,False,False,True,4.62890625,0.06,693,2.4,0.3,-2.9,,1.9,0.0,-0.1,,False,0.162,389,False,False,True,True,스파이크
046890,서울반도체,13.921875,0.83,5300.0,9090.0,,9.0703125,4.85,111,373.8,-123.9,-205.5,1.3,51.75,0.0,-1.15,,False,6.013,69,False,True,False,True,7.2890625,6.63,28,497.2,-170.9,-281.7,12.6,-15.36,0.0,-0.56,,False,7.18,20,False,False,False,True,11.2265625,2.7,54,119.9,9.4,-128.6,-0.1,-30.45,0.0,0.76,,False,1.951,93,False,False,True,True,13.6484375,0.27,292,12.5,-0.7,-11.7,0.1,-4.21,0.0,0.06,,False,0.211,301,False,False,False,True,지속
046940,우원개발,6.26171875,0.36,564.0,3120.0,,6.890625,-0.63,1348,-19.3,1.6,17.3,0.3,-4.44,0.0,0.14,484,False,-0.785,1451,False,False,True,False,9.3671875,-3.11,1738,-36.3,1.4,34.5,0.3,-39.06,0.0,0.04,134,False,-3.168,1703,False,False,True,False,7.48828125,-1.23,1686,-18.2,-3.0,21.6,-0.6,-8.5,0.0,0.3,59,False,-1.538,1675,False,False,False,False,4.9296875,1.33,19,2.9,0.3,-3.4,0.3,-11.74,0.0,0.77,,False,0.537,79,False,False,True,True,
046970,우리로,3.380859375,4.92,1946.0,4440.0,,4.859375,-1.48,1562,-149.3,2.9,174.0,-2.3,228.89,0.0,-1.28,506,False,-0.772,1446,False,True,True,False,1.669921875,1.71,275,-19.0,3.6,14.1,-1.4,-68.73,0.0,0.03,,False,1.221,329,False,False,True,False,3.0703125,0.31,563,-13.8,4.7,10.9,0.4,-34.71,0.0,-0.4,,False,0.66,345,False,False,True,False,3.5,-0.12,1475,-7.6,1.4,6.2,,-0.56,0.0,0.17,251,False,-0.292,1556,False,False,True,False,
047080,한빛소프트,3.98046875,1.51,261.0,1051.0,,2.4296875,1.55,399,2.4,-0.3,-2.1,0.3,-12.34,0.0,-0.07,,False,1.621,405,False,False,False,True,3.890625,0.09,669,-4.2,0.2,6.1,0.3,-22.66,0.0,0.51,446,False,-0.511,1169,False,False,True,False,3.55078125,0.43,491,1.3,-0.2,-1.0,-0.2,-22.09,0.0,-0.17,,False,0.619,367,False,False,False,True,3.849609375,0.13,520,0.2,-0.0,-0.2,,3.04,0.0,0.06,,False,0.069,667,False,False,False,True,
047310,파워로직스,5.9609375,0.55,1091.0,2980.0,,2.869140625,3.09,212,90.9,-2.5,-86.1,-0.3,-43.77,0.0,-1.16,,False,4.211,146,False,True,False,True,5.5703125,0.39,553,8.4,-1.9,-3.8,-0.3,-46.88,0.0,0.17,871,False,0.247,598,False,False,False,True,6.62109375,-0.66,1567,-9.1,0.1,10.1,,-25.5,0.0,0.03,213,False,-0.691,1533,False,False,True,False,5.83984375,0.12,543,-0.2,0.0,0.2,,-1.0,0.0,0.15,560,False,-0.037,1205,False,False,False,False,
047560,이스트소프트,4.8984375,1.62,917.0,7800.0,,1.3095703125,3.59,174,48.3,2.4,-54.8,9.4,-55.91,0.18,-0.53,,False,4.133,150,False,False,True,True,2.4609375,2.44,193,30.3,-16.9,-16.0,9.5,-48.75,0.14,-0.44,,False,2.863,161,False,False,False,True,3.73046875,1.17,203,9.0,7.6,-17.2,9.5,-15.31,0.0,0.25,,False,0.987,231,False,False,True,True,4.94921875,-0.05,1326,-1.6,3.8,-2.1,3.8,3.17,0.0,0.13,,False,-0.173,1465,False,False,True,True,
047770,코데즈컴바인,1.2802734375,1.53,1073.0,2835.0,,3.189453125,-1.91,1620,-55.6,-0.1,48.9,-0.0,-4.55,0.0,0.94,265,False,-2.892,1704,False,False,False,False,4.30078125,-3.02,1727,-66.9,0.0,60.7,0.0,-42.55,0.0,1.23,100,False,-4.27,1739,False,True,False,False,2.23046875,-0.95,1645,-23.7,-0.0,23.2,,-18.65,0.0,0.68,93,False,-1.624,1682,False,False,False,False,1.0,0.28,275,-6.9,0.0,7.3,,6.58,0.0,0.86,90,False,-0.564,1650,False,False,False,False,
047820,초록뱀미디어,0.0,0.29,794.0,3245.0,,0.0,0.0,987,-17.3,102.1,-83.7,,-32.61,0.0,1.35,,False,-1.324,1574,False,True,True,True,0.0,0.0,771,-13.4,102.1,-87.9,,-30.44,0.0,1.02,,False,-0.996,1378,False,True,True,True,0.0,0.0,913,0.4,-0.2,-0.2,,-20.27,0.0,-0.06,,False,0.058,830,False,False,False,True,0.0,0.0,908,0.0,-0.1,0.0,,-0.46,0.0,-0.01,680,False,0.006,950,False,False,False,False,스파이크
047920,HLB제약,0.0,2.46,3073.0,9370.0,,0.89990234375,-0.9,1432,-40.5,-3.8,50.8,0.0,-46.4,0.0,-0.36,434,False,-0.577,1388,False,False,False,False,0.07000732421875,-0.07,915,-14.8,-2.3,25.5,,-49.38,0.0,0.14,551,False,-0.246,995,False,False,False,False,0.0,0.0,913,-18.3,0.2,27.1,,-22.18,0.0,0.33,195,False,-0.373,1382,False,False,True,False,0.0,0.0,908,-18.1,0.0,28.5,,-23.45,0.0,0.38,51,False,-0.384,1598,False,False,False,False,
048410,현대바이오,7.05078125,5.65,6292.0,6520.0,,5.53125,1.52,405,-39.1,154.0,-71.1,-22.2,22.33,0.48,-0.45,,False,2.021,337,False,False,True,True,5.08984375,1.96,244,218.5,-119.4,-34.6,-11.0,-52.75,0.0,-0.37,,False,2.31,195,False,False,False,True,6.4296875,0.62,374,92.5,46.1,-131.3,-8.2,-31.87,0.0,-0.64,,False,1.277,179,False,False,True,True,7.12109375,-0.07,1370,18.0,2.9,-20.7,0.2,-4.4,0.0,-0.36,,False,0.293,205,False,False,True,True,지속
048430,유라테크,1.8896484375,0.43,659.0,5720.0,,2.119140625,-0.23,1185,-4.0,-1.0,3.7,0.0,-30.92,0.0,-0.01,678,False,-0.226,1226,False,False,False,False,1.48046875,0.41,544,1.2,-0.0,-3.4,,-32.39,0.0,0.16,,False,0.264,592,False,False,False,True,1.5595703125,0.33,552,1.0,-0.0,-1.9,,-8.63,0.0,0.16,,False,0.172,698,False,False,False,True,1.8701171875,0.02,827,0.2,0.0,-0.2,,1.06,0.0,-0.01,,False,0.028,830,False,False,False,True,지속
048470,대동스틸,2.66015625,0.34,250.0,2590.0,,2.900390625,-0.24,1191,-5.7,-2.8,17.6,0.0,-9.91,-3.5,-0.17,171,False,-0.225,1225,True,False,False,False,3.689453125,-1.03,1394,-7.3,0.0,6.7,0.0,-25.79,0.0,0.26,411,False,-1.349,1475,False,False,False,False,2.880859375,-0.22,1321,-1.0,-0.3,1.1,-0.3,-13.67,0.0,-0.09,443,False,-0.169,1214,False,False,False,False,2.580078125,0.08,642,0.4,-0.0,-0.4,,2.98,0.0,-0.08,,False,0.156,406,False,False,False,True,스파이크
048530,인트론바이오,2.080078125,1.14,775.0,2510.0,,3.349609375,-1.27,1515,-40.1,29.7,42.7,-0.1,-16.61,-9.54,0.44,389,False,-1.917,1651,True,False,True,False,2.330078125,-0.25,1032,-6.1,-0.2,-0.2,,-33.69,-2.28,0.02,,False,-0.332,1053,True,False,False,True,1.7001953125,0.38,520,4.5,-0.2,-6.8,,-7.04,0.0,-0.24,,False,0.602,376,False,False,False,True,2.05078125,0.03,799,1.0,0.0,-1.1,,7.73,0.0,-0.11,,False,0.138,459,False,False,False,True,
048550,SM C&C,3.630859375,1.9,1552.0,1605.0,,2.7890625,0.84,577,13.1,11.1,-31.9,-0.0,25.69,0.0,-0.47,,False,1.174,500,False,False,True,True,2.94921875,0.68,453,7.7,10.9,-26.5,-0.0,34.53,0.0,-0.17,,False,0.699,441,False,False,True,True,3.369140625,0.26,598,4.1,10.2,-19.3,-0.0,33.64,0.0,0.01,,False,0.259,596,False,False,True,True,4.05859375,-0.43,1705,-0.2,-0.4,0.8,,-0.06,0.0,-0.41,477,False,-0.014,1104,False,False,False,False,
048770,TPC로보틱스,6.80859375,1.21,440.0,2800.0,,1.259765625,5.55,84,19.8,-0.5,-23.5,-0.6,-19.66,0.0,0.36,,False,5.11,105,False,False,False,True,3.830078125,2.98,158,12.9,-8.8,-5.2,-9.1,-16.67,0.0,-0.13,,False,3.089,141,False,False,False,True,4.98046875,1.83,101,8.3,-1.5,-6.2,-1.8,-36.29,0.0,0.17,,False,1.636,120,False,False,False,True,6.421875,0.39,176,0.5,-0.1,-0.3,-0.1,-0.71,0.0,0.29,,False,0.116,517,False,False,False,True,
048830,엔피케이,36.78125,0.43,200.0,1068.0,,36.3125,0.47,702,-0.1,0.9,-1.0,-0.1,13.74,0.0,0.17,,False,0.044,1014,False,False,True,True,37.5625,-0.78,1299,-2.1,1.0,0.5,,-8.48,0.0,0.06,760,False,-1.133,1422,False,False,True,False,37.0625,-0.28,1373,-0.7,1.0,-1.1,,25.65,0.0,-0.01,,False,-0.425,1416,False,False,True,True,36.65625,0.12,543,0.1,1.0,-1.2,,13.98,0.0,0.09,,False,0.032,810,False,False,True,True,
048870,시너지이노베이션,13.65625,0.69,1468.0,1666.0,,13.1015625,0.55,682,19.2,0.2,-19.5,-0.4,-27.09,0.0,-0.76,,False,1.247,481,False,False,True,True,13.453125,0.2,629,7.8,0.5,-9.0,-0.4,-20.48,0.0,-0.49,,False,0.657,454,False,False,True,True,12.671875,0.98,242,16.9,0.4,-17.7,,-10.29,0.0,-0.19,,False,1.148,200,False,False,True,True,13.3125,0.34,224,7.2,1.0,-8.2,,-0.06,0.0,-0.16,,False,0.499,89,False,False,True,True,
048910,대원미디어,3.109375,0.56,590.0,4690.0,,2.69921875,0.41,724,3.2,-13.1,8.5,0.6,-38.69,0.0,-0.23,478,False,0.448,777,False,False,False,False,3.080078125,0.03,721,-4.6,-5.1,8.6,0.0,-39.87,0.0,0.04,553,False,-0.187,949,False,False,False,False,2.509765625,0.6,386,2.8,-2.1,-0.6,,-8.93,0.0,0.16,,False,0.455,466,False,False,False,True,3.060546875,0.05,725,0.3,0.0,-0.2,,-0.95,0.0,0.01,,False,0.049,741,False,False,False,True,
049070,인탑스,6.1484375,0.41,2858.0,17360.0,,4.640625,1.51,408,46.0,89.9,-141.9,-2.0,-17.73,-4.28,-0.28,,False,1.534,419,True,False,True,True,6.890625,-0.74,1277,-30.8,106.3,-77.7,-2.6,-3.45,-4.28,-0.02,,False,-0.974,1375,True,False,True,True,6.76953125,-0.62,1550,-22.9,117.1,-93.1,-0.3,-16.14,-4.28,-0.09,,False,-0.782,1566,True,False,True,True,6.05078125,0.1,592,-0.5,26.0,-25.0,,2.42,0.0,0.13,,False,-0.023,1158,False,False,True,True,
049080,기가레인,0.0,2.32,958.0,11290.0,,1.83984375,-1.84,1610,-38.1,-134.5,214.3,-136.9,1952.73,-90.0,-48.76,37,False,2.848,255,True,True,False,False,1.58984375,-1.59,1543,-35.0,-135.5,173.0,-136.9,464.5,-90.0,-44.84,23,False,2.867,160,True,True,False,False,5.3203125,-5.32,1810,-32.0,1.5,28.9,0.1,1036.96,-90.0,-49.48,375,False,-0.381,1389,True,True,True,False,3.7109375,-3.71,1813,-29.9,1.1,27.5,,145.7,0.0,0.22,2,True,-4.045,1736,False,False,True,False,
049120,파인디앤씨,0.0,0.4,208.0,1959.0,,0.52978515625,-0.53,1311,-2.6,1.0,1.7,-0.0,191.52,-80.0,-1.01,,False,-0.167,1183,True,True,True,False,0.39990234375,-0.4,1115,-0.3,0.1,0.2,-0.0,188.09,-80.0,-2.14,,False,0.025,751,True,True,True,False,0.0,0.0,913,0.1,1.3,-1.4,-0.0,-35.13,0.0,-0.21,,False,0.21,647,False,False,True,True,0.0,0.0,908,0.4,0.6,-1.0,,1.29,0.0,-0.2,,False,0.202,319,False,False,True,True,
049180,셀루메드,1.6796875,6.59,840.0,1009.0,,1.599609375,0.08,905,-9.5,0.1,59.4,,-31.92,51.44,0.25,80,False,0.484,760,True,False,True,False,1.7998046875,-0.12,943,,,,,0.0,0.03,-0.12,,False,,,False,False,False,False,1.669921875,0.01,883,,,,,0.0,0.0,0.01,,False,,,False,False,False,False,1.6796875,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
049430,코메론,23.328125,0.68,1723.0,19040.0,,23.140625,0.19,833,-2.8,154.4,-164.5,4.9,41.04,0.0,0.08,,False,0.137,947,False,False,True,True,23.421875,-0.09,929,-2.8,111.1,-112.2,-0.1,-10.61,0.0,0.01,,False,-0.1,890,False,False,True,True,24.015625,-0.69,1576,-11.1,49.2,-37.5,-0.1,-1.6,0.0,-0.04,,False,-0.643,1514,False,False,True,True,23.46875,-0.14,1499,-2.3,8.4,-6.1,-0.0,-2.41,0.0,-0.01,,False,-0.133,1422,False,False,True,True,
049470,비트플래닛,14.703125,0.57,351.0,1492.0,,46.40625,-31.7,1790,7.3,-3.6,-9.2,0.0,53.18,-80.0,-225.66,,False,1.476,430,True,True,False,True,48.34375,-33.64,1804,-8.8,-0.6,4.1,-0.1,106.08,-80.0,-226.02,847,False,-0.413,1111,True,True,False,False,14.859375,-0.16,1247,-0.3,-0.1,-0.4,-0.1,-13.15,0.0,-0.3,,False,-0.082,1120,False,False,False,True,14.6484375,0.05,725,0.2,-0.1,-0.2,-0.1,13.89,0.0,-0.04,,False,0.065,682,False,False,False,True,
049480,오픈베이스,3.880859375,0.58,570.0,1815.0,,4.30859375,-0.43,1276,-4.5,1.9,3.9,1.2,-22.27,0.0,0.13,599,False,-0.508,1353,False,False,True,False,5.1484375,-1.27,1470,-6.8,1.5,8.5,1.0,-42.11,0.0,-0.29,410,False,-1.067,1400,False,False,True,False,7.7109375,-3.83,1801,-21.2,0.1,20.5,,-15.38,0.0,-0.66,23,False,-3.258,1740,False,False,True,False,5.30859375,-1.43,1795,-1.2,-0.0,1.0,,-15.58,0.0,-1.34,421,False,-0.113,1390,False,True,False,False,
049520,유아이엘,5.6796875,0.57,1133.0,3675.0,,4.76171875,0.92,558,16.5,14.5,-31.3,-0.5,9.54,-4.36,-0.57,,False,1.196,494,True,False,True,True,6.0,-0.32,1079,-3.0,-2.0,1.3,-0.0,-14.24,-4.36,-0.31,804,False,-0.287,1022,True,False,False,False,6.30078125,-0.62,1550,-3.0,-0.0,0.7,,-2.13,0.0,-0.36,579,False,-0.261,1300,False,False,False,False,5.76171875,-0.08,1395,1.4,-0.0,-1.5,,4.7,0.0,-0.21,,False,0.123,496,False,False,False,True,
049550,잉크테크,0.83984375,0.75,588.0,3000.0,,0.580078125,0.26,798,2.1,-1.3,-0.6,,1.01,0.0,-0.06,,False,0.322,830,False,False,False,True,0.77978515625,0.06,692,-0.2,-0.0,-0.3,,-12.66,0.0,0.08,,False,-0.032,833,False,False,False,True,0.7900390625,0.05,805,0.1,-0.0,-0.1,,-3.23,0.0,0.04,,False,0.01,905,False,False,False,True,0.85009765625,-0.01,1155,-0.1,0.0,0.1,,-2.12,0.0,0.01,607,False,-0.018,1123,False,False,False,False,스파이크
049630,재영솔루텍,0.0,1.36,1389.0,5940.0,,4.94140625,-4.94,1758,-238.3,-0.7,240.4,2.4,10.61,-80.0,-25.51,,False,0.042,1017,True,True,False,False,6.640625,-6.64,1797,-32.6,-6.9,45.4,-1.3,102.73,-80.0,-34.86,,False,0.345,564,True,True,False,False,0.0,0.0,913,51.7,-0.3,-51.0,-0.3,-35.71,0.0,-3.1,,False,3.125,43,False,True,False,True,0.0,0.0,908,7.4,-0.0,-7.5,,-4.04,0.0,-0.49,,False,0.477,94,False,False,False,True,
049720,고려신용정보,3.26953125,2.21,1396.0,9760.0,,4.609375,-1.34,1529,-16.8,-3.1,14.2,-0.3,-2.4,0.0,-0.11,426,False,-1.271,1562,False,False,False,False,5.1015625,-1.83,1597,-34.9,-4.6,36.0,-0.6,-5.24,0.0,0.6,181,False,-2.456,1670,False,False,False,False,3.0703125,0.2,653,-0.9,-0.6,0.5,-0.2,-1.71,0.0,0.25,612,False,-0.058,1082,False,False,False,False,3.109375,0.16,457,2.1,-0.0,-2.2,,3.83,0.0,0.01,,False,0.154,415,False,False,False,True,스파이크
049830,승일,0.77978515625,0.25,394.0,6430.0,,0.81982421875,-0.04,1088,-0.2,-0.1,0.7,,-18.5,0.0,-0.01,668,False,-0.036,1104,False,False,False,False,0.759765625,0.02,733,0.2,0.0,0.3,,-13.69,0.0,-0.02,844,False,0.046,716,False,False,False,False,0.77001953125,0.01,883,0.0,0.0,-0.1,,-5.72,0.0,-0.0,,False,0.01,905,False,False,False,True,0.77978515625,0.0,908,-0.0,0.0,0.0,,0.63,0.0,0.0,696,False,-0.004,1046,False,False,False,False,
049950,미래컴퍼니,2.890625,0.77,874.0,9910.0,,4.37109375,-1.48,1562,-5.2,-5.9,10.2,1.2,-36.31,0.0,-0.7,411,False,-0.836,1466,False,False,False,False,4.0390625,-1.15,1435,-12.5,1.1,11.9,-0.4,-33.8,0.0,-0.2,473,False,-0.972,1374,False,False,True,False,2.6796875,0.21,643,1.8,0.0,-2.1,-0.0,-15.15,0.0,0.0,,False,0.207,652,False,False,False,True,2.48046875,0.41,166,2.9,-0.0,-2.8,-0.0,0.61,0.0,0.1,,False,0.32,168,False,False,False,True,스파이크
049960,쎌바이오텍,4.2109375,0.8,1448.0,15400.0,,3.80078125,0.41,724,3.7,-2.3,-0.5,-2.1,17.2,0.0,0.13,,False,0.285,852,False,False,False,True,4.26171875,-0.05,899,-5.0,0.2,4.3,-0.1,-6.95,0.0,0.31,718,False,-0.352,1068,False,False,True,False,4.390625,-0.18,1286,-3.1,0.6,2.6,0.3,-4.94,0.0,0.04,462,False,-0.216,1270,False,False,True,False,4.12890625,0.08,642,0.1,-0.1,0.1,-0.0,3.7,0.0,0.07,670,False,0.008,939,False,False,False,False,
050090,비케이홀딩스,1.2197265625,0.67,89.0,379.0,,2.900390625,-1.68,1596,-1.9,-0.0,0.5,,-59.03,18.95,-0.08,615,False,-1.296,1568,True,False,False,False,2.4609375,-1.24,1462,-1.1,0.0,0.2,,-53.44,18.95,-0.05,726,False,-0.997,1379,True,False,False,False,2.2109375,-0.99,1651,-0.7,0.0,-0.2,,-34.77,18.95,-0.06,585,False,-0.739,1548,True,False,False,True,1.48046875,-0.26,1638,-0.2,,0.2,,1.88,0.0,-0.06,267,False,-0.202,1503,False,False,False,False,
