날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,300080,,0.26,-0.4,-0.1,0.5
2025-07-15,300080,,0.24,0.4,0.5,-0.9
2025-07-16,300080,,0.37,-2.2,-0.9,2.9
2025-07-17,300080,,0.0,-0.6,0.4,0.1
2025-07-18,300080,,3.24,6.6,-0.7,-5.9
2025-07-21,300080,,3.84,0.5,-1.6,1.2
2025-07-22,300080,,3.76,-0.6,-0.0,0.1
2025-07-23,300080,,3.77,2.6,0.2,-2.4
2025-07-24,300080,,4.0,1.5,0.2,-1.6
2025-07-25,300080,,4.14,-0.2,0.0,0.2
2025-07-28,300080,,4.12,6.1,2.2,-8.3
2025-07-29,300080,,4.52,-0.9,0.1,0.9
2025-07-30,300080,,4.41,4.5,0.9,-5.7
2025-07-31,300080,,4.73,-2.9,0.3,3.0
2025-08-01,300080,,4.45,2.6,5.6,-9.3
2025-08-04,300080,,4.58,-58.1,3.8,53.8
2025-08-05,300080,,1.35,-3.4,1.1,2.1
2025-08-06,300080,,1.19,-3.7,0.0,3.6
2025-08-07,300080,,0.99,6.4,1.8,-8.2
2025-08-08,300080,,1.45,2.7,-5.1,2.4
2025-08-11,300080,,1.69,1.2,0.4,-2.2
2025-08-12,300080,,1.73,43.1,0.7,-43.9
2025-08-13,300080,,4.16,-2.3,0.8,1.6
2025-08-14,300080,,4.05,-2.0,0.4,1.3
2025-08-18,300080,,3.86,-0.8,0.2,0.6
2025-08-19,300080,,3.74,-1.4,1.5,0.0
2025-08-20,300080,,3.73,-8.1,0.2,7.8
2025-08-21,300080,,3.26,-3.0,-0.2,3.2
2025-08-22,300080,,3.09,-2.0,-0.0,2.0
2025-08-25,300080,,3.04,5.7,0.2,-6.1
2025-08-26,300080,,3.5,-1.8,-0.4,2.1
2025-08-27,300080,,3.37,-0.4,0.2,0.2
2025-08-28,300080,,3.33,0.8,0.3,-1.1
2025-08-29,300080,11290.0,3.37,1.3,0.0,-1.4
2025-09-01,300080,,3.43,-1.6,0.2,1.4
2025-09-02,300080,,3.3,2.3,0.1,-2.5
2025-09-03,300080,,3.48,1.2,-0.0,-1.2
2025-09-04,300080,,3.57,0.5,0.1,-0.5
2025-09-05,300080,,3.64,2.2,0.1,-2.3
2025-09-08,300080,,3.75,1.1,0.1,-1.2
2025-09-09,300080,,3.82,3.8,1.2,-4.6
2025-09-10,300080,,4.04,-5.9,3.1,2.8
2025-09-11,300080,,3.63,-3.4,4.5,-1.0
2025-09-12,300080,,3.44,-3.6,4.6,-1.0
2025-09-15,300080,,3.26,-0.8,1.6,-0.7
2025-09-16,300080,,3.27,1.5,0.6,-2.2
2025-09-17,300080,,3.36,1.9,-0.0,-1.8
2025-09-18,300080,,3.49,0.9,-0.2,-0.7
2025-09-19,300080,,3.52,5.0,-0.9,-4.3
2025-09-22,300080,,3.79,-6.6,-1.7,8.8
2025-09-23,300080,,3.35,0.9,-1.8,0.6
2025-09-24,300080,,3.43,2.8,-1.6,-1.3
2025-09-25,300080,,3.58,0.9,-2.2,1.3
2025-09-26,300080,,3.27,1.9,-1.5,0.2
2025-09-29,300080,,3.47,0.8,-0.6,-0.5
2025-09-30,300080,10160.0,3.51,-0.7,0.5,0.0
2025-10-01,300080,,3.42,-1.9,0.0,1.8
2025-10-02,300080,,3.3,-1.0,0.3,0.7
2025-10-10,300080,,3.28,0.4,-0.2,-0.2
2025-10-13,300080,,3.23,26.0,2.8,-26.6
2025-10-14,300080,,4.76,15.9,2.1,-18.0
2025-10-15,300080,,5.44,24.0,1.4,-25.1
2025-10-16,300080,,6.46,3.8,-0.7,-2.8
2025-10-17,300080,,6.61,3.8,-5.6,1.5
2025-10-20,300080,,6.64,1.2,-2.5,0.3
2025-10-21,300080,,6.68,5.2,-2.2,-3.9
2025-10-22,300080,,6.85,19.5,0.5,-21.2
2025-10-23,300080,,7.73,-20.6,1.1,17.6
2025-10-24,300080,,6.63,1.5,0.3,-2.1
2025-10-27,300080,,6.66,2.8,0.1,-2.9
2025-10-28,300080,,6.87,16.6,22.0,-40.7
2025-10-29,300080,,7.49,-5.8,1.7,4.7
2025-10-30,300080,,7.16,-13.4,0.8,12.3
2025-10-31,300080,16020.0,6.08,-7.2,5.1,3.4
2025-11-03,300080,,5.77,-0.5,4.5,-4.1
2025-11-04,300080,,5.7,-0.2,1.9,-2.6
2025-11-05,300080,,5.75,3.2,-1.1,-2.2
2025-11-06,300080,,5.85,-1.4,3.1,-1.0
2025-11-07,300080,,5.73,7.5,-8.0,-0.2
2025-11-10,300080,,6.16,-8.7,-2.7,10.9
2025-11-11,300080,,5.6,2.9,0.8,-2.0
2025-11-12,300080,,5.89,8.6,3.3,-12.3
2025-11-13,300080,,6.08,-1.9,3.3,-1.4
2025-11-14,300080,,5.91,18.7,13.1,-31.3
2025-11-17,300080,,6.74,-19.3,0.4,17.6
2025-11-18,300080,,5.83,2.3,-2.7,-0.5
2025-11-19,300080,,5.94,6.0,-4.0,-2.5
2025-11-20,300080,,6.33,-1.6,-4.1,5.8
2025-11-21,300080,,6.24,10.1,-8.0,-2.2
2025-11-24,300080,,6.71,-0.4,-0.7,1.6
2025-11-25,300080,,6.57,17.1,26.5,-44.8
2025-11-26,300080,,7.51,2.6,5.6,-8.2
2025-11-27,300080,,7.57,-20.8,0.4,20.4
2025-11-28,300080,18700.0,6.58,-2.2,15.1,-12.8
2025-12-01,300080,,6.72,6.4,2.4,-7.5
2025-12-02,300080,,7.02,7.7,5.0,-12.7
2025-12-03,300080,,7.35,0.0,4.4,-3.7
2025-12-04,300080,,7.37,-0.7,0.3,0.2
2025-12-05,300080,,7.29,-1.3,-1.1,2.2
2025-12-08,300080,,7.14,-5.2,1.3,3.8
2025-12-09,300080,,7.0,5.7,-2.0,-3.8
2025-12-10,300080,,7.16,-7.4,-1.7,8.7
2025-12-11,300080,,6.87,-0.1,6.1,-5.3
2025-12-12,300080,,6.84,7.6,-10.7,3.1
2025-12-15,300080,,7.11,-1.9,0.2,1.4
2025-12-16,300080,,6.96,-0.4,-1.5,3.3
2025-12-17,300080,,7.02,3.1,-2.2,-0.6
2025-12-18,300080,,7.05,-3.0,-0.1,2.9
2025-12-19,300080,,6.9,6.5,-16.2,9.9
2025-12-22,300080,,7.1,-0.6,2.2,-2.1
2025-12-23,300080,,7.08,-6.7,-1.7,8.5
2025-12-24,300080,,6.83,-6.5,8.7,-2.0
2025-12-26,300080,,6.62,-5.7,6.8,-1.4
2025-12-29,300080,,6.39,-5.5,7.9,-2.7
2025-12-30,300080,16740.0,6.17,-9.0,7.4,1.4
2026-01-02,300080,,5.83,-8.9,0.8,8.0
2026-01-05,300080,,5.48,-14.7,-6.7,21.3
2026-01-06,300080,,4.96,-0.7,-10.8,11.0
2026-01-07,300080,,4.96,2.4,2.5,-4.9
2026-01-08,300080,,5.05,5.5,5.0,-10.9
2026-01-09,300080,,5.33,-2.7,-0.8,3.4
2026-01-12,300080,,5.21,-0.9,-4.2,4.9
2026-01-13,300080,,5.12,0.4,-12.0,10.7
2026-01-14,300080,,5.25,1.0,-7.7,6.0
2026-01-15,300080,,5.26,10.4,-3.8,-6.3
2026-01-16,300080,,5.76,-15.9,0.7,13.4
2026-01-19,300080,,4.99,8.1,1.0,-5.7
2026-01-20,300080,,5.51,4.9,1.1,-6.1
2026-01-21,300080,,5.64,-2.6,-1.9,7.1
2026-01-22,300080,,5.42,1.6,0.7,-2.4
2026-01-23,300080,,5.49,61.5,7.6,-68.3
2026-01-26,300080,,8.28,-17.5,-7.4,24.2
2026-01-27,300080,,6.98,-8.7,2.8,6.1
2026-01-28,300080,,6.56,5.8,-1.4,-3.9
2026-01-29,300080,,6.78,-6.8,-2.2,8.8
2026-01-30,300080,16330.0,6.47,-10.1,0.3,9.2
2026-02-02,300080,,6.02,1.1,-10.7,8.6
2026-02-03,300080,,6.03,-1.6,1.4,0.3
2026-02-04,300080,,5.98,1.5,-7.9,6.4
2026-02-05,300080,,6.09,-2.6,-4.4,6.4
2026-02-06,300080,,5.89,0.2,-7.2,7.8
2026-02-09,300080,,5.95,-0.2,-5.6,5.0
2026-02-10,300080,,5.92,1.2,-0.2,-0.7
2026-02-11,300080,,5.96,-3.9,-3.3,7.0
2026-02-12,300080,,5.81,-3.9,-4.2,7.8
2026-02-13,300080,,5.62,-4.7,-0.5,5.3
2026-02-19,300080,,5.41,3.5,0.0,-4.1
2026-02-20,300080,,5.55,1.1,-8.8,7.3
2026-02-23,300080,,5.55,3.2,0.2,-3.0
2026-02-24,300080,,5.47,-1.6,-2.8,6.9
2026-02-25,300080,,5.36,-0.4,-4.2,4.4
2026-02-26,300080,,5.28,3.0,-0.3,-2.7
2026-02-27,300080,12850.0,5.39,6.5,-0.1,-6.3
2026-03-03,300080,,5.73,3.2,-0.2,-3.1
2026-03-04,300080,,5.95,6.9,-0.1,-7.3
2026-03-05,300080,,6.37,4.2,0.0,-4.4
2026-03-06,300080,,6.58,-1.2,-0.1,1.0
2026-03-09,300080,,6.49,2.5,0.0,-2.8
2026-03-10,300080,,6.68,2.4,-0.1,-2.2
2026-03-11,300080,,6.83,-1.4,0.0,1.4
2026-03-12,300080,,6.82,-1.7,0.1,1.6
2026-03-13,300080,,6.69,4.0,-12.1,7.7
2026-03-16,300080,,6.94,-26.4,-0.1,25.0
2026-03-17,300080,,5.48,-0.8,0.0,1.0
2026-03-18,300080,,5.49,6.3,-12.7,6.4
