날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,120030,,0.9,-0.3,-0.0,0.3
2025-07-15,120030,,0.87,-0.8,0.0,0.7
2025-07-16,120030,,0.81,-0.4,0.0,0.4
2025-07-17,120030,,0.79,0.6,0.0,-0.6
2025-07-18,120030,,0.83,-0.3,0.0,0.3
2025-07-21,120030,,0.81,0.3,-0.0,-0.3
2025-07-22,120030,,0.83,-0.2,-0.0,0.2
2025-07-23,120030,,0.82,-0.2,-0.0,0.2
2025-07-24,120030,,0.8,-0.2,-0.0,0.2
2025-07-25,120030,,0.78,-0.4,0.0,0.4
2025-07-28,120030,,0.75,-0.6,0.0,0.6
2025-07-29,120030,,0.7,-0.0,-0.0,0.0
2025-07-30,120030,,0.7,0.0,-0.0,-0.0
2025-07-31,120030,,0.7,0.8,-0.0,-0.8
2025-08-01,120030,,0.77,-0.9,0.0,0.8
2025-08-04,120030,,0.71,0.4,-0.0,-0.4
2025-08-05,120030,,0.74,-0.1,0.0,0.1
2025-08-06,120030,,0.73,0.1,-0.0,-0.1
2025-08-07,120030,,0.83,-0.0,-0.0,0.1
2025-08-08,120030,,0.83,0.4,0.2,-0.6
2025-08-11,120030,,0.86,-0.7,0.1,0.6
2025-08-12,120030,,0.81,0.7,0.1,-0.8
2025-08-13,120030,,0.86,0.2,0.1,-0.2
2025-08-14,120030,,0.87,-0.3,0.0,0.3
2025-08-18,120030,,0.85,-0.5,0.1,0.5
2025-08-19,120030,,0.81,-0.2,0.1,0.1
2025-08-20,120030,,0.79,-0.2,0.0,0.2
2025-08-21,120030,,0.77,-0.0,0.2,-0.1
2025-08-22,120030,,0.77,-0.1,0.1,-0.1
2025-08-25,120030,,0.77,-0.2,0.0,0.1
2025-08-26,120030,,0.76,-0.0,0.0,0.0
2025-08-27,120030,,0.78,-0.1,0.0,0.1
2025-08-28,120030,,0.77,0.3,-0.0,-0.3
2025-08-29,120030,105500.0,0.8,0.9,-0.0,-0.8
2025-09-01,120030,,0.86,0.2,0.0,-0.2
2025-09-02,120030,,0.88,-0.9,-0.0,0.9
2025-09-03,120030,,0.81,-0.0,0.0,0.0
2025-09-04,120030,,0.81,0.4,-0.0,-0.3
2025-09-05,120030,,0.84,0.0,-0.0,-0.0
2025-09-08,120030,,0.84,0.1,-0.0,-0.1
2025-09-09,120030,,0.85,-4.5,-30.7,36.2
2025-09-10,120030,,0.59,0.5,0.3,-0.9
2025-09-11,120030,,0.62,-2.1,0.2,1.9
2025-09-12,120030,,0.5,1.1,0.1,-1.6
2025-09-15,120030,,0.58,2.4,0.7,-2.9
2025-09-16,120030,,0.74,-0.3,0.3,-0.2
2025-09-17,120030,,1.04,-4.6,-0.0,4.6
2025-09-18,120030,,0.72,2.8,0.0,-2.8
2025-09-19,120030,,0.92,-2.6,-1.0,3.6
2025-09-22,120030,,0.42,-1.9,-0.0,1.8
2025-09-23,120030,,0.28,-1.1,0.5,0.6
2025-09-24,120030,,0.2,0.2,-0.0,-0.2
2025-09-25,120030,,0.22,-0.2,0.0,0.2
2025-09-26,120030,,0.21,3.6,0.7,-4.3
2025-09-29,120030,,0.5,-0.6,-0.0,0.7
2025-09-30,120030,105400.0,0.46,0.4,-0.0,-0.4
2025-10-01,120030,,0.48,-0.5,-0.1,0.6
2025-10-02,120030,,0.44,-0.4,-0.0,0.4
2025-10-10,120030,,0.42,0.7,0.0,-0.8
2025-10-13,120030,,0.47,0.7,-0.0,-0.7
2025-10-14,120030,,0.53,1.2,-0.0,-1.1
2025-10-15,120030,,0.62,1.1,-0.0,-1.1
2025-10-16,120030,,0.7,-0.4,-0.0,0.4
2025-10-17,120030,,0.67,-0.5,-0.0,0.5
2025-10-20,120030,,0.63,0.6,0.0,-0.6
2025-10-21,120030,,0.68,0.5,-0.0,-0.4
2025-10-22,120030,,0.71,-0.4,0.0,0.4
2025-10-23,120030,,0.68,-0.0,0.0,0.0
2025-10-24,120030,,0.68,-0.4,-0.0,0.4
2025-10-27,120030,,0.65,-0.1,-0.0,0.1
2025-10-28,120030,,0.64,0.1,-1.1,1.0
2025-10-29,120030,,0.65,-0.4,-0.2,0.6
2025-10-30,120030,,0.62,-0.3,-0.0,0.4
2025-10-31,120030,99500.0,0.59,-0.2,-0.2,0.3
2025-11-03,120030,,0.58,-0.9,-0.3,1.0
2025-11-04,120030,,0.51,-0.1,0.0,0.0
2025-11-05,120030,,0.5,-1.1,-0.0,1.2
2025-11-06,120030,,0.41,0.8,0.2,-1.0
2025-11-07,120030,,0.47,0.2,0.2,-0.2
2025-11-10,120030,,0.49,1.3,0.2,-1.5
2025-11-11,120030,,0.6,-0.2,-0.2,0.4
2025-11-12,120030,,0.58,0.8,0.1,-0.9
2025-11-13,120030,,0.64,-0.1,0.2,-0.1
2025-11-14,120030,,0.63,-0.4,0.3,0.0
2025-11-17,120030,,0.6,-0.1,0.1,0.1
2025-11-18,120030,,0.59,0.3,0.2,-0.4
2025-11-19,120030,,0.61,-0.0,0.2,-0.2
2025-11-20,120030,,0.61,0.5,0.3,-0.8
2025-11-21,120030,,0.66,-0.2,0.2,-0.1
2025-11-24,120030,,0.64,-0.2,0.2,-0.0
2025-11-25,120030,,0.63,0.4,0.1,-0.5
2025-11-26,120030,,0.66,1.2,0.2,-1.4
2025-11-27,120030,,0.76,-0.0,0.2,-0.1
2025-11-28,120030,99000.0,0.75,0.3,0.2,-0.5
2025-12-01,120030,,0.77,-0.8,0.2,0.6
2025-12-02,120030,,0.71,0.3,0.2,-0.4
2025-12-03,120030,,0.73,-0.1,0.2,-0.0
2025-12-04,120030,,0.72,-0.2,0.3,-0.0
2025-12-05,120030,,0.7,0.3,0.1,-0.4
2025-12-08,120030,,0.72,0.2,0.2,-0.4
2025-12-09,120030,,0.74,0.1,0.2,-0.2
2025-12-10,120030,,0.74,0.3,0.2,-0.4
2025-12-11,120030,,0.77,0.8,0.2,-1.0
2025-12-12,120030,,0.83,0.2,-0.0,-0.2
2025-12-15,120030,,0.85,-0.5,0.4,0.1
2025-12-16,120030,,0.81,-0.8,0.1,0.8
2025-12-17,120030,,0.75,0.0,0.2,0.2
2025-12-18,120030,,0.75,0.2,0.2,-0.4
2025-12-19,120030,,0.77,0.7,0.2,-0.9
2025-12-22,120030,,0.82,-0.3,0.2,0.1
2025-12-23,120030,,0.8,-0.5,0.1,0.4
2025-12-24,120030,,0.76,0.2,0.1,-0.2
2025-12-26,120030,,0.77,-0.4,0.2,0.2
2025-12-29,120030,,0.73,0.7,-0.1,-0.6
2025-12-30,120030,96100.0,0.79,-0.1,0.0,0.1
2026-01-02,120030,,0.78,-0.2,0.2,-0.0
2026-01-05,120030,,0.77,-0.5,0.1,0.4
2026-01-06,120030,,0.72,-0.5,0.1,0.4
2026-01-07,120030,,0.68,-0.3,0.2,0.1
2026-01-08,120030,,0.65,-0.2,0.2,-0.0
2026-01-09,120030,,0.64,0.3,0.0,-0.3
2026-01-12,120030,,0.66,0.0,0.2,-0.2
2026-01-13,120030,,0.66,0.1,0.3,-0.1
2026-01-14,120030,,0.67,-0.3,0.9,-0.5
2026-01-15,120030,,0.64,-0.0,0.2,-0.3
2026-01-16,120030,,0.64,-0.2,0.3,-0.1
2026-01-19,120030,,0.62,1.2,0.2,-1.5
2026-01-20,120030,,0.72,0.3,0.2,-0.5
2026-01-21,120030,,0.74,-0.4,0.5,-0.2
2026-01-22,120030,,0.71,0.0,0.7,-0.8
2026-01-23,120030,,0.72,0.6,0.6,-1.1
2026-01-26,120030,,0.76,0.1,0.7,-0.7
2026-01-27,120030,,0.76,0.3,0.5,-0.8
2026-01-28,120030,,0.79,0.5,0.4,-0.8
2026-01-29,120030,,0.82,0.4,0.3,-0.7
2026-01-30,120030,100400.0,0.86,-0.2,1.1,-0.9
2026-02-02,120030,,0.84,-2.0,0.1,2.0
2026-02-03,120030,,0.68,-0.3,0.5,-0.2
2026-02-04,120030,,0.66,-0.2,0.4,-0.2
2026-02-05,120030,,0.64,-0.5,0.0,0.4
2026-02-06,120030,,0.6,-0.7,0.2,0.5
2026-02-09,120030,,0.55,-0.2,0.2,0.0
2026-02-10,120030,,0.54,0.1,0.4,-0.5
2026-02-11,120030,,0.55,0.0,0.8,-0.8
2026-02-12,120030,,0.55,0.1,0.2,-0.5
2026-02-13,120030,,0.55,-0.2,0.1,0.1
2026-02-19,120030,,0.54,-0.2,0.5,-0.3
2026-02-20,120030,,0.52,-0.4,0.9,-0.5
2026-02-23,120030,,0.49,2.1,0.0,-2.1
2026-02-24,120030,,0.64,-1.5,0.0,1.4
2026-02-25,120030,,0.53,-0.8,0.3,0.5
2026-02-26,120030,,0.49,-1.1,0.0,1.1
2026-02-27,120030,108400.0,0.41,-0.1,0.3,-0.1
2026-03-03,120030,,0.41,0.3,2.2,-2.5
2026-03-04,120030,,0.43,1.1,2.7,-3.8
2026-03-05,120030,,0.6,0.1,0.5,-1.0
2026-03-06,120030,,0.61,-0.3,0.0,0.2
2026-03-09,120030,,0.59,0.4,0.4,-0.3
2026-03-10,120030,,0.62,-0.3,0.6,-0.2
2026-03-11,120030,,0.59,-1.0,-0.0,1.1
2026-03-12,120030,,0.52,0.8,-0.0,-0.8
2026-03-13,120030,,0.58,0.1,0.0,-0.1
2026-03-16,120030,,0.57,-0.3,1.6,-1.3
2026-03-17,120030,,0.55,-0.3,0.2,0.1
2026-03-18,120030,,0.53,0.2,-0.2,-0.0
2026-03-19,120030,,0.55,0.2,-0.1,-0.0
2026-03-20,120030,,0.56,0.9,0.0,-1.0
2026-03-23,120030,,0.63,0.0,0.1,-0.2
2026-03-24,120030,,0.63,0.4,0.0,-0.6
2026-03-25,120030,,0.66,0.2,-0.0,-0.1
2026-03-26,120030,,0.67,0.0,-0.0,0.0
2026-03-27,120030,,0.67,0.1,0.1,-0.2
2026-03-30,120030,,0.68,-0.2,0.1,0.2
2026-03-31,120030,96400.0,0.66,-0.0,0.0,0.0
2026-04-01,120030,,0.66,0.3,-0.0,-0.3
2026-04-02,120030,,0.68,-0.2,0.1,0.1
2026-04-03,120030,,0.67,0.2,0.0,-0.2
2026-04-06,120030,,0.7,-0.1,-0.0,0.1
2026-04-07,120030,,0.69,-0.1,0.0,0.1
2026-04-08,120030,,0.68,-0.1,-0.0,0.1
2026-04-09,120030,,0.67,0.0,0.0,-0.1
2026-04-10,120030,,0.68,0.3,0.0,-0.3
2026-04-13,120030,,0.7,-0.0,0.0,0.0
2026-04-14,120030,,0.7,0.2,-0.0,-0.0
2026-04-15,120030,,0.72,-0.2,0.2,-0.0
2026-04-16,120030,,0.7,-0.0,0.2,-0.1
2026-04-17,120030,,0.7,-0.1,-0.0,0.1
2026-04-20,120030,,0.69,-0.1,-0.0,0.1
2026-04-21,120030,,0.68,-0.1,0.2,-0.1
2026-04-22,120030,,0.67,-0.2,0.5,-0.2
2026-04-23,120030,,0.65,0.3,0.2,-0.5
2026-04-24,120030,,0.67,-0.2,0.0,0.2
2026-04-27,120030,,0.66,-0.3,-0.0,0.3
2026-04-28,120030,,0.64,0.2,-0.0,-0.2
2026-04-29,120030,,0.65,-0.1,-0.0,0.1
2026-04-30,120030,101200.0,0.64,0.2,-0.0,-0.2
2026-05-04,120030,,0.65,-0.1,-0.2,0.3
2026-05-06,120030,,0.65,-0.5,0.0,0.5
2026-05-07,120030,,0.6,-0.6,0.0,0.5
2026-05-08,120030,,0.56,0.1,0.4,-0.4
2026-05-11,120030,,0.56,0.1,0.3,-0.3
2026-05-12,120030,,0.57,-0.2,0.1,0.1
2026-05-13,120030,,0.5,-0.4,0.5,-0.1
2026-05-14,120030,,0.46,0.2,-0.4,0.2
2026-05-15,120030,,0.48,-0.0,0.1,-0.1
2026-05-18,120030,,0.48,-0.1,0.2,-0.2
2026-05-19,120030,,0.48,0.1,-0.0,-0.1
2026-05-20,120030,,0.49,0.1,-0.0,-0.1
2026-05-21,120030,,0.49,-0.0,-0.0,0.1
2026-05-22,120030,,0.49,0.0,0.0,-0.1
2026-05-26,120030,,0.49,-0.6,-0.0,0.7
2026-05-27,120030,,0.44,-0.1,0.2,-0.1
2026-05-28,120030,,0.43,0.2,0.0,-0.3
2026-05-29,120030,90400.0,0.49,-0.2,0.0,0.2
2026-06-01,120030,,0.47,0.3,0.5,-0.8
2026-06-02,120030,,0.5,-0.3,0.0,0.3
2026-06-04,120030,,0.47,-0.1,-0.0,0.1
2026-06-05,120030,,0.46,-0.1,0.0,0.1
2026-06-08,120030,,0.45,-0.1,0.0,0.0
2026-06-09,120030,,0.44,0.1,0.1,-0.2
2026-06-10,120030,,0.45,-0.1,0.1,-0.1
2026-06-11,120030,,0.44,0.2,0.1,-0.3
2026-06-12,120030,,0.46,0.2,0.0,-0.2
2026-06-15,120030,,0.48,-0.4,0.6,-0.2
2026-06-16,120030,,0.45,0.1,0.5,-0.7
2026-06-17,120030,,0.46,0.2,0.3,-0.6
2026-06-18,120030,,0.48,-0.1,0.4,-0.3
2026-06-19,120030,,0.47,-0.1,-0.0,0.1
2026-06-22,120030,,0.46,-0.1,0.1,-0.1
2026-06-23,120030,,0.78,0.2,0.1,-0.3
2026-06-24,120030,,0.79,0.1,0.2,-0.3
2026-06-25,120030,,0.8,-0.0,0.0,-0.0
2026-06-26,120030,,0.8,-0.2,0.0,0.2
2026-06-29,120030,,0.78,0.1,0.1,-0.3
2026-06-30,120030,86900.0,0.8,0.0,-0.0,-0.0
2026-07-01,120030,,0.8,0.3,0.0,-0.3
2026-07-02,120030,,0.82,0.0,0.2,-0.2
2026-07-03,120030,,0.82,0.0,0.0,-0.0
2026-07-06,120030,,0.83,0.1,-0.0,-0.1
2026-07-07,120030,,0.84,0.2,0.0,-0.2
2026-07-08,120030,,0.86,0.0,0.0,-0.0
2026-07-09,120030,,0.86,0.0,-0.0,-0.0
2026-07-10,120030,,0.86,-0.1,-0.0,0.1
2026-07-13,120030,85800.0,0.85,-0.0,0.0,0.0
2025-07-14,120110,,11.97,-15.4,-4.1,19.5
2025-07-15,120110,,11.83,1.7,-2.2,-0.1
2025-07-16,120110,,11.85,-17.1,21.8,-5.6
2025-07-17,120110,,11.71,5.3,-8.7,3.2
2025-07-18,120110,,11.76,55.0,-6.9,-49.8
2025-07-21,120110,,12.29,-6.7,9.3,-3.0
2025-07-22,120110,,12.2,0.9,11.7,-11.8
2025-07-23,120110,,12.22,-12.4,13.3,-2.0
2025-07-24,120110,,12.0,8.5,-1.9,-6.8
2025-07-25,120110,,12.29,4.8,2.9,-5.7
2025-07-28,120110,,12.37,28.3,-7.7,-20.4
2025-07-29,120110,,12.63,41.3,-15.9,-24.8
2025-07-30,120110,,13.02,15.7,-13.4,-1.9
2025-07-31,120110,,13.14,3.7,-3.4,0.1
2025-08-01,120110,,13.16,31.2,-16.1,-14.5
2025-08-04,120110,,13.39,0.8,-0.6,-1.6
2025-08-05,120110,,13.4,2.4,-11.2,8.7
2025-08-06,120110,,13.41,16.2,-8.7,-6.1
2025-08-07,120110,,13.56,-25.1,-9.3,34.3
2025-08-08,120110,,13.29,-8.7,6.0,2.5
2025-08-11,120110,,13.2,-23.2,-36.7,55.5
2025-08-12,120110,,12.92,14.9,-13.7,-0.9
2025-08-13,120110,,13.07,20.4,-15.8,-4.6
2025-08-14,120110,,13.34,13.4,-16.6,3.7
