날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,480370,,0.3,-0.8,-0.0,0.8
2025-07-15,480370,,0.23,-0.4,-0.0,-0.0
2025-07-16,480370,,0.23,-0.2,0.0,0.2
2025-07-17,480370,,0.18,0.1,0.0,-0.2
2025-07-18,480370,,0.19,0.5,-0.7,0.2
2025-07-21,480370,,0.24,-0.1,-0.0,0.0
2025-07-22,480370,,0.24,-0.7,0.0,0.5
2025-07-23,480370,,0.18,0.4,-0.0,-0.3
2025-07-24,480370,,0.22,0.7,-0.0,-0.4
2025-07-25,480370,,0.3,-0.9,-0.0,1.0
2025-07-28,480370,,0.22,0.4,-0.0,-0.4
2025-07-29,480370,,0.27,0.3,-0.9,0.9
2025-07-30,480370,,0.3,-0.5,1.1,-0.5
2025-07-31,480370,,0.22,-0.2,-0.0,0.2
2025-08-01,480370,,0.2,0.1,-0.0,0.5
2025-08-04,480370,,0.21,0.2,-0.8,0.9
2025-08-05,480370,,0.24,2.4,-0.0,-2.4
2025-08-06,480370,,0.49,0.1,-0.0,-0.1
2025-08-07,480370,,0.49,-0.2,-0.0,0.4
2025-08-08,480370,,0.46,-0.2,0.2,-0.0
2025-08-11,480370,,0.44,-0.5,-0.3,0.8
2025-08-12,480370,,0.38,0.1,0.1,-0.2
2025-08-13,480370,,0.39,0.6,1.0,-1.6
2025-08-14,480370,,0.48,2.1,1.7,-3.9
2025-08-18,480370,,0.73,-2.1,-0.8,2.9
2025-08-19,480370,,0.48,-0.5,-0.6,1.1
2025-08-20,480370,,0.43,-0.7,0.4,0.3
2025-08-21,480370,,0.34,0.2,0.2,-0.4
2025-08-22,480370,,0.38,0.4,-1.0,0.6
2025-08-25,480370,,0.4,0.8,-0.6,-0.2
2025-08-26,480370,,0.53,-0.7,1.8,-0.9
2025-08-27,480370,,0.48,0.3,1.4,-1.7
2025-08-28,480370,,0.49,-0.5,-0.0,0.5
2025-08-29,480370,9800.0,0.42,-0.5,-0.0,0.5
2025-09-01,480370,,0.36,-0.2,-0.0,0.2
2025-09-02,480370,,0.32,-0.1,-0.7,0.8
2025-09-03,480370,,0.3,-0.1,-0.0,0.0
2025-09-04,480370,,0.3,0.2,0.9,-1.1
2025-09-05,480370,,0.33,1.0,1.0,-1.8
2025-09-08,480370,,0.49,0.5,-0.0,-0.5
2025-09-09,480370,,0.53,1.4,-0.0,-1.3
2025-09-10,480370,,0.64,0.2,0.0,-0.2
2025-09-11,480370,,0.66,-0.0,0.0,0.0
2025-09-12,480370,,0.66,0.3,-0.0,-0.2
2025-09-15,480370,,0.69,-0.2,-0.0,0.2
2025-09-16,480370,,0.67,0.4,0.0,-0.3
2025-09-17,480370,,0.72,-0.2,-0.1,0.3
2025-09-18,480370,,0.7,0.4,0.0,-0.4
2025-09-19,480370,,0.74,-0.4,0.0,0.4
2025-09-22,480370,,0.7,-0.2,-0.0,0.1
2025-09-23,480370,,0.66,0.0,-0.0,-0.1
2025-09-24,480370,,0.66,-0.1,-0.0,0.1
2025-09-25,480370,,0.65,-0.1,-0.0,0.1
2025-09-26,480370,,0.63,-1.5,-0.9,2.4
2025-09-29,480370,,0.44,1.2,-0.1,-1.1
2025-09-30,480370,9660.0,0.73,-0.3,-0.0,0.3
2025-10-01,480370,,0.68,-0.3,0.0,0.3
2025-10-02,480370,,0.66,0.6,-0.0,-0.6
2025-10-10,480370,,0.71,0.5,-1.9,1.3
2025-10-13,480370,,0.68,-0.4,0.0,0.4
2025-10-14,480370,,0.63,-0.0,-0.0,0.3
2025-10-15,480370,,0.62,0.6,-0.0,-0.5
2025-10-16,480370,,0.72,0.3,-0.0,-0.3
2025-10-17,480370,,0.75,-0.1,-0.0,0.2
2025-10-20,480370,,0.78,0.9,,-0.9
2025-10-21,480370,,0.86,1.1,,-1.0
2025-10-22,480370,,0.92,0.3,-0.0,-0.3
2025-10-23,480370,,0.96,-0.2,-0.1,0.3
2025-10-24,480370,,0.85,0.1,,-0.2
2025-10-27,480370,,0.87,0.9,0.0,-0.9
2025-10-28,480370,,1.01,0.2,-0.0,-0.1
2025-10-29,480370,,1.0,-0.3,,0.3
2025-10-30,480370,,0.95,-1.0,-0.0,1.1
2025-10-31,480370,9030.0,0.84,-1.2,-0.0,1.2
2025-11-03,480370,,0.68,-0.2,,0.2
2025-11-04,480370,,0.65,0.4,,-0.4
2025-11-05,480370,,0.69,-0.7,-0.2,0.9
2025-11-06,480370,,0.61,0.6,-0.4,-0.1
2025-11-07,480370,,0.68,-0.3,-0.2,0.5
2025-11-10,480370,,0.65,0.4,-0.2,-0.2
2025-11-11,480370,,0.73,0.3,-0.0,-0.3
2025-11-12,480370,,0.77,-0.0,-0.0,0.0
2025-11-13,480370,,0.81,0.0,-0.1,0.0
2025-11-14,480370,,0.79,-0.1,-0.2,0.3
2025-11-17,480370,,0.77,-0.1,-0.0,0.1
2025-11-18,480370,,0.81,-0.3,-0.0,0.3
2025-11-19,480370,,0.77,0.2,-0.2,-0.1
2025-11-20,480370,,0.79,0.5,-0.0,-0.4
2025-11-21,480370,,0.79,-0.1,-0.1,0.2
2025-11-24,480370,,0.78,0.2,-0.2,-0.0
2025-11-25,480370,,0.81,-0.4,-0.0,0.3
2025-11-26,480370,,0.7,3.2,0.0,-3.2
2025-11-27,480370,,1.11,-0.0,-0.0,0.1
2025-11-28,480370,8480.0,1.1,0.2,0.0,-0.2
2025-12-01,480370,,1.12,0.6,0.0,-0.6
2025-12-02,480370,,1.2,0.4,-0.0,-0.2
2025-12-03,480370,,1.22,0.2,-0.0,-0.2
2025-12-04,480370,,1.25,-0.4,,0.4
2025-12-05,480370,,1.17,-6.5,2.1,4.4
2025-12-08,480370,,0.36,1.6,-0.1,-1.5
2025-12-09,480370,,0.66,-0.2,-0.0,0.2
2025-12-10,480370,,0.62,0.6,-0.0,-0.6
2025-12-11,480370,,0.68,0.7,-0.1,-0.6
2025-12-12,480370,,0.75,0.3,-0.1,-0.2
2025-12-15,480370,,0.8,0.1,-0.0,-0.0
2025-12-16,480370,,0.8,-0.4,-0.0,0.4
2025-12-17,480370,,0.74,0.1,-0.0,-0.1
2025-12-18,480370,,0.78,-1.2,-0.1,1.3
2025-12-19,480370,,0.56,-0.5,,0.5
2025-12-22,480370,,0.57,0.2,-0.0,-0.2
2025-12-23,480370,,0.61,-0.4,-0.0,0.5
2025-12-24,480370,,0.54,0.3,-0.0,-0.2
2025-12-26,480370,,0.58,-0.1,-0.1,0.2
2025-12-29,480370,,0.56,0.4,-0.0,-0.3
2025-12-30,480370,8420.0,0.6,0.2,-0.1,-0.1
2026-01-02,480370,,0.62,-0.0,-0.0,0.0
2026-01-05,480370,,0.62,0.4,-0.0,-0.4
2026-01-06,480370,,0.66,0.0,-0.0,0.0
2026-01-07,480370,,0.66,-1.0,-0.0,1.0
2026-01-08,480370,,0.56,1.2,-0.0,-1.2
2026-01-09,480370,,0.7,-0.4,0.3,0.1
2026-01-12,480370,,0.65,0.6,-0.0,-0.5
2026-01-13,480370,,0.72,-0.2,-0.0,0.2
2026-01-14,480370,,0.7,-0.4,-0.2,0.6
2026-01-15,480370,,0.66,-0.5,-0.0,0.5
2026-01-16,480370,,0.6,0.2,-0.1,-0.1
2026-01-19,480370,,0.62,0.3,0.0,-0.3
2026-01-20,480370,,0.65,0.8,-0.1,-0.6
2026-01-21,480370,,0.74,-1.0,-0.0,1.0
2026-01-22,480370,,0.62,1.3,-0.1,-1.2
2026-01-23,480370,,0.77,0.6,-0.1,-0.5
2026-01-26,480370,,0.84,0.7,0.0,-0.7
2026-01-27,480370,,0.92,-0.3,-0.1,0.2
2026-01-28,480370,,0.88,1.7,0.0,-2.1
2026-01-29,480370,,1.06,-0.3,-0.0,0.3
2026-01-30,480370,8770.0,1.03,0.5,-0.0,-0.5
2026-02-02,480370,,1.08,-0.2,0.0,0.2
2026-02-03,480370,,1.06,1.2,0.0,-1.2
2026-02-04,480370,,1.19,1.2,-0.1,-1.2
2026-02-05,480370,,1.32,0.4,-0.0,-0.4
2026-02-06,480370,,1.37,-0.4,0.0,0.4
2026-02-09,480370,,1.32,1.6,-0.0,-1.6
2026-02-10,480370,,1.48,2.0,-0.0,-1.6
2026-02-11,480370,,1.69,1.5,-0.1,-1.6
2026-02-12,480370,,1.83,-3.5,-6.4,7.8
2026-02-13,480370,,1.57,1.9,-12.2,10.3
2026-02-19,480370,,1.76,13.9,-10.8,-3.3
2026-02-20,480370,,2.85,-0.4,-6.7,6.4
2026-02-23,480370,,2.82,1.6,-1.8,0.5
2026-02-24,480370,,2.95,2.8,-0.0,8.0
2026-02-25,480370,,3.29,-0.2,0.9,5.8
2026-02-26,480370,,3.36,6.1,-4.7,7.8
2026-02-27,480370,3310.0,3.92,-9.7,-1.5,11.2
2026-03-03,480370,,1.33,-0.1,-0.3,0.4
2026-03-04,480370,,1.32,0.0,-0.1,0.1
2026-03-05,480370,,1.34,0.3,-0.2,-0.1
2026-03-06,480370,,1.53,0.1,-0.1,-0.0
2026-03-09,480370,,1.61,-0.6,-0.0,0.7
2026-03-10,480370,,1.41,-0.5,-0.2,0.6
2026-03-11,480370,,1.24,-0.0,-0.3,0.3
2026-03-12,480370,,1.24,-0.2,-0.1,0.3
2026-03-13,480370,,1.17,-0.1,-0.1,0.2
2026-03-16,480370,,1.15,-0.5,-0.1,0.5
2026-03-17,480370,,1.03,-0.3,-0.2,0.4
2026-03-18,480370,,0.92,-0.7,-0.0,0.7
2026-03-19,480370,,0.69,0.1,-0.1,-0.0
2026-03-20,480370,,0.81,0.5,-0.1,-0.4
2026-03-23,480370,,1.04,-0.2,,0.2
2026-03-24,480370,,0.98,0.1,-0.0,-0.1
2026-03-25,480370,,1.02,-0.9,-0.6,1.5
2026-03-26,480370,,0.7,-0.0,,0.0
2026-03-27,480370,,2.88,-0.1,-0.1,0.3
2026-03-30,480370,,2.85,-0.8,-1.1,1.9
2026-03-31,480370,1981.0,2.73,1.4,-0.5,-0.9
2026-04-01,480370,,2.93,1.2,-0.5,-0.7
2026-04-02,480370,,3.11,-1.3,-0.2,1.5
2026-04-03,480370,,2.92,0.2,-0.1,-0.1
2026-04-06,480370,,2.94,-0.1,-0.0,0.1
2026-04-07,480370,,2.93,-0.0,-0.1,0.1
2026-04-08,480370,,2.93,1.9,-0.5,-1.4
2026-04-09,480370,,3.22,-0.5,-0.0,0.5
2026-04-10,480370,,3.14,0.2,-0.6,0.4
2026-04-13,480370,,3.16,-0.5,-0.0,0.5
2026-04-14,480370,,3.09,0.4,-0.5,0.0
