날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,440110,,6.1,-1.3,-1.8,2.8
2025-07-15,440110,,6.08,0.2,-0.7,0.3
2025-07-16,440110,,6.09,0.7,-3.3,2.4
2025-07-17,440110,,5.99,-0.1,1.3,-1.6
2025-07-18,440110,,5.96,-2.0,1.0,1.0
2025-07-21,440110,,5.92,-0.8,-0.0,0.8
2025-07-22,440110,,5.72,-1.8,-0.6,2.4
2025-07-23,440110,,5.85,-25.0,0.3,23.7
2025-07-24,440110,,5.43,3.5,-0.2,-3.1
2025-07-25,440110,,5.5,-7.6,-0.5,7.7
2025-07-28,440110,,5.36,-2.0,-0.3,2.1
2025-07-29,440110,,5.33,0.8,-0.2,-2.0
2025-07-30,440110,,5.34,0.9,-0.3,-0.4
2025-07-31,440110,,5.37,0.8,0.0,-0.9
2025-08-01,440110,,5.42,-3.5,0.0,1.9
2025-08-04,440110,,5.3,1.4,1.2,-3.1
2025-08-05,440110,,5.33,-0.6,0.4,0.2
2025-08-06,440110,,5.32,2.1,0.0,-1.7
2025-08-07,440110,,5.35,4.6,-0.6,-1.6
2025-08-08,440110,,5.45,-2.3,-0.6,3.0
2025-08-11,440110,,5.4,-1.2,-0.8,2.0
2025-08-12,440110,,5.41,-0.8,-1.5,2.3
2025-08-13,440110,,5.39,27.3,-0.7,-26.7
2025-08-14,440110,,5.89,1.0,-0.8,-0.5
2025-08-18,440110,,5.89,-4.2,-0.2,4.7
2025-08-19,440110,,5.82,-8.0,0.2,7.7
2025-08-20,440110,,5.66,-6.4,0.1,6.2
2025-08-21,440110,,5.54,-7.9,0.4,7.5
2025-08-22,440110,,5.4,-1.4,0.1,0.6
2025-08-25,440110,,5.38,9.9,-0.1,-9.6
2025-08-26,440110,,5.62,13.1,0.1,-12.7
2025-08-27,440110,,5.86,24.6,4.5,-28.8
2025-08-28,440110,,6.21,6.0,3.8,-10.0
2025-08-29,440110,14170.0,6.28,10.8,-2.8,-7.9
2025-09-01,440110,,6.45,1.3,1.4,-2.8
2025-09-02,440110,,6.46,0.8,0.7,-3.2
2025-09-03,440110,,6.48,23.4,15.4,-35.1
2025-09-04,440110,,6.89,-20.9,10.7,10.0
2025-09-05,440110,,6.61,10.7,10.0,-12.5
2025-09-08,440110,,6.79,-5.9,15.8,-5.3
2025-09-09,440110,,6.68,-10.1,8.4,3.6
2025-09-10,440110,,6.54,-1.8,4.5,-1.5
2025-09-11,440110,,6.5,-15.0,19.4,-2.3
2025-09-12,440110,,6.3,-32.1,16.4,14.3
2025-09-15,440110,,5.93,-2.7,3.2,-0.6
2025-09-16,440110,,5.91,7.5,11.1,-14.4
2025-09-17,440110,,5.98,5.2,10.3,-12.7
2025-09-18,440110,,6.03,16.6,59.2,-60.7
2025-09-19,440110,,6.21,-6.8,8.9,-2.2
2025-09-22,440110,,6.06,50.3,-13.8,-30.8
2025-09-23,440110,,6.49,17.4,9.6,-12.0
2025-09-24,440110,,6.63,81.8,-31.6,-41.7
2025-09-25,440110,,7.32,142.2,-101.2,-41.6
2025-09-26,440110,,8.62,4.7,3.4,-7.8
2025-09-29,440110,,8.66,39.3,-26.0,-10.7
2025-09-30,440110,22100.0,9.05,-8.1,8.1,1.0
2025-10-01,440110,,8.98,-16.5,13.5,4.3
2025-10-02,440110,,9.07,-23.8,15.6,10.4
2025-10-10,440110,,8.86,-37.3,0.7,36.3
2025-10-13,440110,,8.54,8.9,-17.6,10.7
2025-10-14,440110,,8.62,-18.9,12.8,12.1
2025-10-15,440110,,8.46,-17.8,6.1,14.3
2025-10-16,440110,,8.3,14.0,0.3,-15.0
2025-10-17,440110,,8.43,-34.3,-14.7,49.0
2025-10-20,440110,,8.12,13.6,-2.4,-9.6
2025-10-21,440110,,8.26,11.5,-9.7,-1.6
2025-10-22,440110,,8.36,10.0,-1.4,-8.8
2025-10-23,440110,,8.45,-7.9,-2.6,11.0
2025-10-24,440110,,8.38,83.8,9.2,-73.0
2025-10-27,440110,,9.11,27.8,-0.5,-27.9
2025-10-28,440110,,9.36,-18.5,7.9,10.3
2025-10-29,440110,,9.21,31.8,-13.1,-19.8
2025-10-30,440110,,9.47,-11.2,0.5,6.7
2025-10-31,440110,25400.0,9.19,92.1,-62.7,-32.4
2025-11-03,440110,,9.92,49.3,-63.6,13.9
