날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,310200,,8.88,-3.5,-3.9,6.8
2025-07-15,310200,,8.77,9.1,-6.6,-3.9
2025-07-16,310200,,9.11,0.9,-2.0,1.2
2025-07-17,310200,,9.14,4.7,0.4,-5.0
2025-07-18,310200,,9.31,-6.7,-0.1,7.2
2025-07-21,310200,,9.08,6.3,-3.7,3.0
2025-07-22,310200,,9.3,11.5,-9.6,2.1
2025-07-23,310200,,9.72,0.2,3.1,-1.3
2025-07-24,310200,,9.73,2.8,-0.8,-3.0
2025-07-25,310200,,9.84,-1.9,2.8,0.0
2025-07-28,310200,,9.77,1.9,-1.6,0.1
2025-07-29,310200,,9.84,1.4,-0.4,-1.1
2025-07-30,310200,,9.9,3.1,-4.3,1.0
2025-07-31,310200,,9.55,-6.1,5.3,3.5
2025-08-01,310200,,9.3,-11.3,8.3,2.8
2025-08-04,310200,,8.91,-6.9,-5.8,14.9
2025-08-05,310200,,8.67,0.6,-0.3,3.7
2025-08-06,310200,,8.7,-1.4,-2.6,3.2
2025-08-07,310200,,8.65,0.3,-0.4,-0.1
2025-08-08,310200,,8.72,-0.2,-0.4,0.3
2025-08-11,310200,,8.71,-4.5,0.6,3.5
2025-08-12,310200,,8.55,0.9,1.2,-1.5
2025-08-13,310200,,8.58,-3.6,1.1,2.5
2025-08-14,310200,,8.45,0.4,0.0,0.4
2025-08-18,310200,,8.53,-11.0,1.3,9.9
2025-08-19,310200,,8.15,-2.1,0.8,2.6
2025-08-20,310200,,8.07,-10.5,0.7,9.5
2025-08-21,310200,,7.71,-75.1,9.0,65.0
2025-08-22,310200,,5.17,-12.8,4.0,5.2
2025-08-25,310200,,4.69,-31.9,-2.8,33.1
2025-08-26,310200,,3.56,-1.9,-1.9,3.6
2025-08-27,310200,,3.53,10.5,-3.0,-8.4
2025-08-28,310200,,3.96,14.2,-9.5,-5.4
2025-08-29,310200,4805.0,4.63,-7.2,10.8,-3.5
2025-09-01,310200,,4.36,-0.3,1.6,-1.9
2025-09-02,310200,,4.35,9.5,-2.2,-5.9
2025-09-03,310200,,4.84,1.9,-0.4,-1.8
2025-09-04,310200,,4.96,2.6,-5.9,3.2
2025-09-05,310200,,5.09,-3.1,1.8,1.0
2025-09-08,310200,,4.99,3.3,0.0,-3.4
2025-09-09,310200,,5.16,2.3,-0.0,-2.3
2025-09-10,310200,,5.27,4.0,-2.0,-2.6
2025-09-11,310200,,5.46,1.0,-0.7,-0.2
2025-09-12,310200,,5.51,-1.1,3.1,-2.1
2025-09-15,310200,,5.46,-2.0,-0.3,2.5
2025-09-16,310200,,5.36,-7.6,3.8,3.6
2025-09-17,310200,,5.02,-2.7,-3.1,5.5
2025-09-18,310200,,4.91,3.4,-0.6,-2.7
2025-09-19,310200,,5.07,0.9,-0.8,-0.2
2025-09-22,310200,,5.11,1.3,-0.1,-1.1
2025-09-23,310200,,5.18,1.2,-1.5,0.3
2025-09-24,310200,,5.26,4.9,-1.7,-3.0
2025-09-25,310200,,5.5,1.7,0.2,-1.6
2025-09-26,310200,,5.58,4.1,-1.7,-1.8
2025-09-29,310200,,5.79,-0.6,0.8,-0.3
2025-09-30,310200,3935.0,5.76,-1.8,2.7,-0.9
2025-10-01,310200,,5.67,-2.4,0.0,2.4
2025-10-02,310200,,5.49,1.7,-0.2,-1.5
2025-10-10,310200,,5.58,-0.5,-0.2,0.8
2025-10-13,310200,,5.55,-1.2,0.0,2.2
2025-10-14,310200,,5.51,-1.1,-0.1,1.1
2025-10-15,310200,,5.46,-1.2,0.2,0.8
2025-10-16,310200,,5.45,0.3,0.1,-0.4
2025-10-17,310200,,5.46,-0.2,-0.1,0.3
2025-10-20,310200,,5.45,0.9,-0.4,-0.5
2025-10-21,310200,,5.5,-1.6,-0.1,1.5
2025-10-22,310200,,5.42,0.2,0.3,-0.5
2025-10-23,310200,,5.42,0.4,0.1,-0.5
2025-10-24,310200,,5.44,-5.6,-0.3,7.0
2025-10-27,310200,,5.18,1.1,-0.9,-0.0
2025-10-28,310200,,5.23,-2.4,-0.1,2.5
2025-10-29,310200,,5.11,0.7,0.4,1.2
2025-10-30,310200,,5.15,3.4,0.4,-3.8
2025-10-31,310200,3740.0,5.32,0.4,-0.5,0.1
2025-11-03,310200,,5.34,0.6,-1.3,0.6
2025-11-04,310200,,5.38,1.6,-1.3,-0.3
2025-11-05,310200,,5.46,8.6,-0.9,-7.6
2025-11-06,310200,,5.93,2.8,0.3,-3.1
2025-11-07,310200,,6.08,-1.1,-0.2,1.4
2025-11-10,310200,,6.02,1.1,-1.2,0.1
2025-11-11,310200,,6.08,-0.7,-0.1,0.9
2025-11-12,310200,,6.04,0.2,0.4,-0.6
2025-11-13,310200,,6.05,-0.7,0.0,0.7
