날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,411080,,0.51,-0.5,0.0,0.5
2025-07-15,411080,,0.48,0.1,0.0,-0.2
2025-07-16,411080,,0.46,-0.4,0.0,0.4
2025-07-17,411080,,0.47,-0.6,-2.3,-3.6
2025-07-18,411080,,0.58,3.1,-0.0,-3.1
2025-07-21,411080,,0.98,-6.2,-0.0,6.2
2025-07-22,411080,,0.54,2.2,-0.0,-4.0
2025-07-23,411080,,0.65,-2.4,-0.0,1.4
2025-07-24,411080,,0.62,2.1,0.0,-1.9
2025-07-25,411080,,0.83,1.7,0.0,-1.6
2025-07-28,411080,,0.94,-1.2,-0.0,1.3
2025-07-29,411080,,0.86,-2.2,0.0,2.2
2025-07-30,411080,,0.7,1.1,0.0,-1.1
2025-07-31,411080,,0.87,1.0,-0.0,-1.0
2025-08-01,411080,,0.94,1.4,0.0,-1.5
2025-08-04,411080,,1.07,0.6,1.1,-1.6
2025-08-05,411080,,1.21,-0.3,0.7,-0.5
2025-08-06,411080,,1.19,-0.8,-0.0,0.9
2025-08-07,411080,,1.03,0.5,0.6,-1.1
2025-08-08,411080,,1.07,-1.0,0.0,1.0
2025-08-11,411080,,1.05,-1.7,0.1,1.5
2025-08-12,411080,,0.81,-0.5,0.0,0.4
2025-08-13,411080,,0.78,-0.1,0.1,-0.0
2025-08-14,411080,,0.79,-0.4,0.0,0.5
2025-08-18,411080,,0.76,-0.1,0.0,0.1
2025-08-19,411080,,0.73,-0.4,0.3,-0.2
2025-08-20,411080,,0.71,-3.2,0.0,3.1
2025-08-21,411080,,0.44,0.1,0.0,-0.3
2025-08-22,411080,,0.45,0.8,-0.0,-0.9
2025-08-25,411080,,0.53,0.9,0.0,-0.7
2025-08-26,411080,,0.64,0.1,0.0,-0.2
2025-08-27,411080,,0.63,-0.3,0.0,0.2
2025-08-28,411080,,0.61,0.6,0.0,-0.7
2025-08-29,411080,7950.0,0.68,-0.1,-0.0,0.1
2025-09-01,411080,,0.67,-0.4,-0.0,0.3
2025-09-02,411080,,0.63,-4.9,4.5,0.3
2025-09-03,411080,,0.32,2.6,4.0,-6.7
2025-09-04,411080,,0.76,-2.9,0.9,2.1
2025-09-05,411080,,0.43,0.2,-0.0,-0.2
2025-09-08,411080,,0.47,0.8,0.0,-0.7
2025-09-09,411080,,0.56,1.3,0.5,-1.8
2025-09-10,411080,,0.69,-3.4,-9.1,12.1
2025-09-11,411080,,0.41,0.1,1.1,-1.2
2025-09-12,411080,,0.41,0.5,1.5,-2.1
2025-09-15,411080,,0.49,1.0,0.4,-1.4
2025-09-16,411080,,0.55,-4.3,0.0,4.2
2025-09-17,411080,,0.39,-0.9,0.3,1.3
2025-09-18,411080,,0.43,9.2,2.0,-11.2
2025-09-19,411080,,1.58,-3.8,0.8,3.1
2025-09-22,411080,,1.34,8.0,0.1,-8.1
2025-09-23,411080,,1.87,-17.5,0.1,17.5
2025-09-24,411080,,0.69,-2.6,-0.0,2.3
2025-09-25,411080,,0.51,3.3,-0.0,-3.2
2025-09-26,411080,,0.75,1.7,-0.0,-1.4
2025-09-29,411080,,0.89,4.4,0.2,-4.6
2025-09-30,411080,8810.0,1.18,-3.0,0.3,2.7
2025-10-01,411080,,0.97,0.1,0.0,-0.1
2025-10-02,411080,,0.98,2.4,0.0,-2.4
2025-10-10,411080,,1.03,-0.6,-0.7,1.3
2025-10-13,411080,,0.99,1.3,0.4,-1.7
2025-10-14,411080,,1.08,0.4,0.7,-1.1
2025-10-15,411080,,1.12,0.1,0.0,-0.1
2025-10-16,411080,,1.13,-0.9,-0.2,1.0
2025-10-17,411080,,1.07,1.4,-0.1,-1.4
2025-10-20,411080,,1.18,1.1,0.0,-1.2
2025-10-21,411080,,1.26,-2.0,-0.0,2.0
2025-10-22,411080,,1.12,-2.5,0.1,2.5
2025-10-23,411080,,0.94,5.5,0.0,-5.5
2025-10-24,411080,,1.34,-4.0,-0.0,3.8
2025-10-27,411080,,1.05,-2.3,0.0,2.3
2025-10-28,411080,,0.87,-0.4,0.2,0.3
2025-10-29,411080,,0.84,-3.8,0.0,3.7
2025-10-30,411080,,0.55,0.3,0.0,-0.4
2025-10-31,411080,8100.0,0.57,0.9,0.0,-0.9
2025-11-03,411080,,0.65,1.1,0.0,-1.1
2025-11-04,411080,,0.73,-0.3,0.0,0.3
2025-11-05,411080,,0.71,-0.4,0.0,0.4
2025-11-06,411080,,0.67,-0.7,0.0,0.7
2025-11-07,411080,,0.61,-1.3,0.0,1.2
2025-11-10,411080,,0.5,1.1,-1.3,0.2
2025-11-11,411080,,0.6,-0.6,0.0,0.6
2025-11-12,411080,,0.54,1.2,0.0,-1.2
2025-11-13,411080,,0.64,-0.1,0.0,0.1
2025-11-14,411080,,0.63,-1.1,-0.0,1.1
2025-11-17,411080,,0.55,0.5,-0.0,-0.5
2025-11-18,411080,,0.6,-0.0,0.1,-0.1
2025-11-19,411080,,0.61,0.9,0.0,-0.9
2025-11-20,411080,,0.69,1.1,-0.0,-1.1
2025-11-21,411080,,0.78,0.0,-0.0,-0.0
2025-11-24,411080,,0.79,0.9,-0.0,-0.9
2025-11-25,411080,,0.87,0.3,0.0,-0.4
2025-11-26,411080,,0.89,0.4,0.0,-0.4
2025-11-27,411080,,0.95,-0.4,0.0,0.4
2025-11-28,411080,7620.0,0.91,1.7,0.0,-1.7
2025-12-01,411080,,1.06,-1.9,-0.0,1.9
2025-12-02,411080,,0.92,1.0,0.0,-1.0
2025-12-03,411080,,1.0,-0.4,0.0,0.4
2025-12-04,411080,,0.98,-0.5,-0.0,0.5
2025-12-05,411080,,0.94,0.1,0.0,-0.1
2025-12-08,411080,,0.96,-0.3,0.0,0.3
2025-12-09,411080,,0.94,0.0,0.0,-0.0
2025-12-10,411080,,0.94,0.4,0.0,-0.4
2025-12-11,411080,,0.97,0.8,0.0,-0.7
2025-12-12,411080,,1.04,0.0,-1.6,1.6
2025-12-15,411080,,1.04,-0.5,-2.3,2.8
2025-12-16,411080,,0.99,0.2,-0.4,0.2
2025-12-17,411080,,1.01,0.4,-0.3,-0.0
2025-12-18,411080,,1.04,0.5,-0.3,-0.1
2025-12-19,411080,,1.09,1.4,-1.6,0.1
2025-12-22,411080,,1.22,1.5,-2.3,0.8
2025-12-23,411080,,1.37,-2.6,-0.5,3.0
2025-12-24,411080,,1.12,-0.4,-0.3,0.7
2025-12-26,411080,,1.08,0.2,-0.2,-0.2
2025-12-29,411080,,1.08,1.7,-0.2,-1.6
2025-12-30,411080,6900.0,1.2,0.2,-0.4,0.2
2026-01-02,411080,,1.22,0.9,0.0,-0.9
2026-01-05,411080,,1.3,-0.3,-0.0,0.3
2026-01-06,411080,,1.29,-0.7,-0.0,0.7
2026-01-07,411080,,1.23,0.1,-0.0,-0.3
2026-01-08,411080,,1.24,-0.7,-0.0,0.8
2026-01-09,411080,,1.17,0.5,-0.0,-0.5
2026-01-12,411080,,1.22,0.4,-0.0,-0.4
2026-01-13,411080,,1.26,-0.5,-0.0,0.5
2026-01-14,411080,,1.2,-0.1,-0.0,0.1
2026-01-15,411080,,1.2,-1.0,-0.0,1.0
2026-01-16,411080,,1.1,-0.1,-0.4,0.3
2026-01-19,411080,,1.09,0.1,-1.0,0.9
2026-01-20,411080,,1.1,1.3,0.0,-1.3
2026-01-21,411080,,1.22,-1.0,,0.9
2026-01-22,411080,,1.12,0.9,,-0.9
2026-01-23,411080,,1.21,1.5,,-1.4
2026-01-26,411080,,1.35,0.9,,-0.3
2026-01-27,411080,,1.43,2.3,,-2.4
2026-01-28,411080,,1.63,0.7,,-0.6
2026-01-29,411080,,1.7,3.3,,-3.3
2026-01-30,411080,7360.0,1.96,-0.7,,0.5
2026-02-02,411080,,1.87,-1.3,,1.3
2026-02-03,411080,,1.69,1.2,,-1.5
2026-02-04,411080,,1.8,-0.1,,0.1
2026-02-05,411080,,1.77,0.3,,-0.3
2026-02-06,411080,,1.8,-0.6,,0.6
2026-02-09,411080,,1.75,1.8,,-1.8
2026-02-10,411080,,1.91,0.5,,-0.4
2026-02-11,411080,,1.96,-0.1,,-0.0
2026-02-12,411080,,1.94,-0.5,,0.5
2026-02-13,411080,,1.89,-0.2,,0.1
2026-02-19,411080,,1.87,0.1,,-0.0
2026-02-20,411080,,1.88,0.2,,-0.2
2026-02-23,411080,,1.89,-0.8,,1.0
2026-02-24,411080,,1.77,0.2,,-0.2
2026-02-25,411080,,1.79,-0.9,,0.8
2026-02-26,411080,,1.68,-1.0,,1.0
2026-02-27,411080,6460.0,1.58,-0.3,,0.2
2026-03-03,411080,,1.55,0.3,,-0.3
2026-03-04,411080,,1.58,1.9,,-2.0
2026-03-05,411080,,1.8,2.1,,-2.1
2026-03-06,411080,,2.03,0.6,,-0.6
2026-03-09,411080,,2.06,-0.0,-0.1,0.1
2026-03-10,411080,,2.0,0.7,,-0.7
2026-03-11,411080,,2.0,0.3,,-0.3
2026-03-12,411080,,2.04,-1.3,,1.3
2026-03-13,411080,,1.9,0.5,,-0.5
2026-03-16,411080,,1.94,-0.0,,0.0
2026-03-17,411080,,1.94,0.7,,-0.7
2026-03-18,411080,,2.01,0.2,,-0.2
2026-03-19,411080,,2.03,0.4,,-0.4
2026-03-20,411080,,2.07,1.4,,-1.4
2026-03-23,411080,,2.2,0.2,,-0.2
2026-03-24,411080,,2.21,0.7,,-0.7
2026-03-25,411080,,2.32,0.3,,-0.3
2026-03-26,411080,,2.31,-0.5,,0.5
2026-03-27,411080,,2.25,0.1,,-0.1
2026-03-30,411080,,2.26,0.0,,-0.0
2026-03-31,411080,5820.0,2.26,-0.1,,0.1
2026-04-01,411080,,2.25,0.6,,-0.6
2026-04-02,411080,,2.32,-0.3,,0.3
2026-04-03,411080,,2.26,0.0,,-0.0
2026-04-06,411080,,2.26,0.2,,-0.2
2026-04-07,411080,,2.27,0.2,,-0.2
2026-04-08,411080,,2.29,0.4,,-0.4
2026-04-09,411080,,2.34,-0.3,,0.3
2026-04-10,411080,,2.31,1.2,,-1.2
2026-04-13,411080,,2.44,-0.2,,0.2
2026-04-14,411080,,2.42,-0.1,,0.2
2026-04-15,411080,,2.4,-6.9,,7.2
2026-04-16,411080,,1.81,-6.8,0.2,6.9
2026-04-17,411080,,1.44,-2.8,,3.1
2026-04-20,411080,,1.22,-1.2,,0.8
2026-04-21,411080,,1.09,-3.7,,3.9
2026-04-22,411080,,0.79,-1.9,,1.8
2026-04-23,411080,,0.67,2.4,,-2.0
2026-04-24,411080,,0.91,-3.6,,3.8
2026-04-27,411080,,0.63,9.8,,-9.9
2026-04-28,411080,,1.38,-4.7,,4.8
2026-04-29,411080,,1.04,0.4,-0.0,-0.5
2026-04-30,411080,8230.0,1.08,-0.0,-0.0,-0.1
2026-05-04,411080,,1.11,-1.2,0.0,1.3
2026-05-06,411080,,1.01,-3.3,-0.0,3.3
2026-05-07,411080,,0.76,-3.6,0.0,3.7
2026-05-08,411080,,0.48,0.2,0.0,-0.3
2026-05-11,411080,,0.5,3.2,-0.0,-3.3
2026-05-12,411080,,0.76,-1.6,-0.1,1.6
2026-05-13,411080,,0.63,0.5,-0.1,-0.4
2026-05-14,411080,,0.67,1.3,0.0,-1.4
2026-05-15,411080,,0.81,3.3,0.0,-3.4
2026-05-18,411080,,1.14,1.0,-0.0,-1.0
2026-05-19,411080,,1.24,-0.2,-0.0,0.1
2026-05-20,411080,,1.22,-1.6,-0.0,1.2
2026-05-21,411080,,1.06,-0.7,0.0,0.7
2026-05-22,411080,,1.02,-1.6,-0.0,1.5
2026-05-26,411080,,0.87,-0.8,-0.0,0.9
2026-05-27,411080,,0.79,-0.5,0.0,0.5
2026-05-28,411080,,0.73,1.5,0.0,-1.6
2026-05-29,411080,6400.0,0.89,-1.2,-0.0,1.1
2026-06-01,411080,,0.77,0.9,-0.0,-1.1
2026-06-02,411080,,0.87,0.3,0.0,-0.3
2026-06-04,411080,,0.9,-0.2,-0.0,0.2
2026-06-05,411080,,0.89,0.5,0.0,-0.5
2026-06-08,411080,,0.95,0.6,0.0,-0.5
2026-06-09,411080,,1.03,1.2,-0.0,-1.2
2026-06-10,411080,,1.18,-0.0,-0.0,-0.1
2026-06-11,411080,,1.18,-0.1,-0.0,0.1
2026-06-12,411080,,1.17,0.1,-0.0,-0.2
2026-06-15,411080,,1.18,-1.1,0.0,1.1
