날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,070300,2050.0,13.44,0.0,,-0.0
2025-07-15,070300,2115.0,13.45,0.4,,-0.4
2025-07-16,070300,2075.0,13.64,-0.5,,0.4
2025-07-17,070300,2005.0,13.4,-0.1,,0.2
2025-07-18,070300,1979.0,13.33,-0.3,,0.3
2025-07-21,070300,2015.0,13.17,0.2,,-0.2
2025-07-22,070300,2000.0,13.27,0.1,,-0.1
2025-07-23,070300,1973.0,13.3,0.1,,-0.1
2025-07-24,070300,1929.0,13.36,-0.3,,0.3
2025-07-25,070300,1969.0,13.23,0.2,,-0.2
2025-07-28,070300,1960.0,13.36,-0.1,,0.2
2025-07-29,070300,1953.0,13.23,0.1,,-0.1
2025-07-30,070300,1988.0,13.27,0.4,,-0.4
2025-07-31,070300,1928.0,13.47,-0.1,,0.1
2025-08-01,070300,1836.0,13.4,-0.0,,0.0
2025-08-04,070300,1849.0,13.39,0.6,,-0.6
2025-08-05,070300,1864.0,13.73,0.3,-0.1,-0.2
2025-08-06,070300,1927.0,13.88,0.4,-0.1,-0.3
2025-08-07,070300,1970.0,14.12,0.2,,-0.2
2025-08-08,070300,1987.0,14.21,0.6,,-0.5
2025-08-11,070300,2030.0,14.5,0.2,0.0,-0.2
2025-08-12,070300,2025.0,14.57,0.2,,-0.2
2025-08-13,070300,2080.0,14.68,0.4,,-0.4
2025-08-14,070300,2160.0,14.86,0.1,,-0.1
2025-08-18,070300,2160.0,14.89,-0.3,0.2,0.1
2025-08-19,070300,2260.0,14.74,-0.1,0.8,-0.8
2025-08-20,070300,1509.0,14.71,-1.1,-1.0,2.0
2025-08-21,070300,1471.0,14.09,-0.2,-0.1,0.2
2025-08-22,070300,1502.0,13.98,0.1,-0.0,-0.1
2025-08-25,070300,1385.0,14.07,-0.1,-0.1,0.2
2025-08-26,070300,1250.0,13.98,-0.9,-1.2,2.6
2025-08-27,070300,1239.0,13.24,-0.0,0.2,-0.2
2025-08-28,070300,1205.0,8.33,0.6,-0.8,0.3
2025-08-29,070300,1186.0,8.6,-0.3,-0.0,0.3
2025-09-01,070300,1150.0,8.45,-0.6,,0.6
2025-09-02,070300,1218.0,8.18,1.0,,-1.0
2025-09-03,070300,1216.0,8.67,-0.2,,0.2
2025-09-04,070300,1239.0,8.58,0.2,-0.1,-0.1
2025-09-05,070300,1214.0,8.68,-0.4,,0.4
2025-09-08,070300,1165.0,8.49,0.2,-0.8,0.8
2025-09-09,070300,1261.0,8.58,1.3,-0.2,-1.1
2025-09-10,070300,1287.0,7.65,0.4,-0.1,-0.3
2025-09-11,070300,1460.0,7.78,-2.9,-0.2,3.1
2025-09-12,070300,1518.0,6.99,-2.2,-0.4,2.5
2025-09-15,070300,1654.0,6.41,2.9,-0.1,-3.0
2025-09-16,070300,1690.0,7.19,-0.3,,0.3
2025-09-17,070300,1654.0,7.1,-0.3,-0.1,0.4
2025-09-18,070300,1633.0,7.04,0.9,-0.2,-0.8
2025-09-19,070300,1609.0,7.29,0.2,-0.1,-0.1
2025-09-22,070300,1620.0,7.33,-0.4,,0.4
2025-09-23,070300,1498.0,7.03,-0.2,,0.2
2025-09-24,070300,1480.0,6.97,0.8,,-0.8
2025-09-25,070300,1445.0,7.22,0.5,,-0.5
2025-09-26,070300,1368.0,7.38,3.0,-0.1,-2.6
2025-09-29,070300,1339.0,8.34,0.0,,-0.1
2025-09-30,070300,1312.0,8.35,0.1,-0.1,0.1
2025-10-01,070300,1303.0,8.37,0.4,,-0.4
2025-10-02,070300,1306.0,8.49,-0.1,-0.1,0.2
2025-10-10,070300,1326.0,8.45,0.0,,-0.0
2025-10-13,070300,1305.0,8.45,-0.0,-0.2,0.2
