날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,370090,14970.0,4.26,-3.7,-0.0,3.6
2025-07-15,370090,15050.0,3.95,-0.5,0.0,0.4
2025-07-16,370090,14880.0,3.96,-0.5,-0.0,0.5
2025-07-17,370090,14960.0,3.93,0.9,0.0,-0.9
2025-07-18,370090,14990.0,3.97,-1.2,0.0,1.2
2025-07-21,370090,15100.0,3.99,1.2,0.0,-1.2
2025-07-22,370090,14730.0,4.14,-1.5,-0.0,1.5
2025-07-23,370090,14740.0,3.96,-0.4,0.0,0.4
2025-07-24,370090,14600.0,3.93,-0.8,-0.0,0.9
2025-07-25,370090,14110.0,3.85,-0.5,0.0,0.4
2025-07-28,370090,14450.0,3.83,1.7,-0.0,-1.7
2025-07-29,370090,14620.0,4.02,-1.2,-0.0,1.1
2025-07-30,370090,14790.0,3.87,1.1,0.0,-1.2
2025-07-31,370090,14580.0,3.98,-0.4,-0.0,0.4
2025-08-01,370090,13720.0,4.04,-2.0,0.0,1.9
2025-08-04,370090,13920.0,3.91,1.3,0.0,-1.4
2025-08-05,370090,14210.0,4.04,1.3,-0.0,-1.3
2025-08-06,370090,14250.0,4.17,0.9,0.0,-0.9
2025-08-07,370090,14370.0,4.24,0.0,-0.2,0.1
2025-08-08,370090,14190.0,4.36,-0.5,0.0,0.5
2025-08-11,370090,14400.0,4.33,-0.0,0.0,-0.0
2025-08-12,370090,14400.0,4.41,-0.3,-0.1,0.3
2025-08-13,370090,14270.0,4.39,-0.0,0.0,0.0
2025-08-14,370090,14030.0,4.4,-0.5,0.0,0.3
2025-08-18,370090,13600.0,4.38,-0.8,0.0,0.8
2025-08-19,370090,13440.0,4.31,0.3,-0.3,0.0
2025-08-20,370090,13110.0,4.35,-0.2,-0.0,0.1
2025-08-21,370090,13190.0,4.37,0.5,-0.0,-0.5
2025-08-22,370090,13270.0,4.48,0.2,-0.0,-0.2
2025-08-25,370090,13610.0,4.5,0.8,0.0,-0.8
2025-08-26,370090,13610.0,4.61,0.9,0.0,-0.9
2025-08-27,370090,13570.0,4.7,-0.2,0.0,0.2
2025-08-28,370090,13490.0,4.65,0.0,0.0,-0.0
2025-08-29,370090,13350.0,4.64,0.1,0.0,-0.0
2025-09-01,370090,13010.0,4.65,-0.9,-0.0,0.9
2025-09-02,370090,13150.0,4.5,0.9,0.0,-1.0
2025-09-03,370090,13540.0,4.61,1.1,-0.0,-1.1
2025-09-04,370090,13570.0,4.77,0.2,-0.0,-0.2
2025-09-05,370090,13640.0,4.8,0.9,0.0,-1.0
2025-09-08,370090,13720.0,4.88,0.5,-0.0,-0.6
2025-09-09,370090,13720.0,4.93,1.1,0.0,-1.1
2025-09-10,370090,13740.0,5.04,1.2,-0.0,-0.9
2025-09-11,370090,14020.0,5.17,0.5,-0.0,-0.6
2025-09-12,370090,14380.0,5.22,0.8,-0.0,-0.8
2025-09-15,370090,14460.0,5.28,-1.5,-0.0,1.5
2025-09-16,370090,14500.0,5.09,0.4,0.0,-0.4
2025-09-17,370090,14080.0,5.1,1.9,-0.1,-1.8
2025-09-18,370090,14190.0,5.29,2.7,0.1,-2.7
2025-09-19,370090,14060.0,5.54,-0.7,0.0,0.7
2025-09-22,370090,14070.0,5.39,0.2,0.0,-0.2
2025-09-23,370090,13810.0,5.41,0.0,0.0,-0.0
2025-09-24,370090,13450.0,5.36,-0.1,0.0,0.1
2025-09-25,370090,13450.0,5.2,-0.1,0.0,0.1
2025-09-26,370090,13110.0,5.2,-3.0,-0.0,3.0
2025-09-29,370090,13050.0,4.88,-0.0,-0.1,0.1
2025-09-30,370090,12890.0,4.89,-1.0,-0.0,1.0
2025-10-01,370090,12830.0,4.78,-0.1,0.0,0.1
2025-10-02,370090,12990.0,4.79,0.9,-0.1,-0.8
2025-10-10,370090,12950.0,4.9,0.3,0.0,-0.3
2025-10-13,370090,12720.0,4.93,0.4,-0.0,-0.3
2025-10-14,370090,12650.0,4.97,0.2,0.0,-0.2
2025-10-15,370090,13070.0,4.96,2.0,0.0,-2.0
2025-10-16,370090,13470.0,5.22,1.0,0.0,-1.0
2025-10-17,370090,13050.0,5.33,-0.7,0.0,0.7
2025-10-20,370090,13200.0,5.28,0.5,0.0,-0.5
2025-10-21,370090,13330.0,5.34,0.4,0.0,-0.5
2025-10-22,370090,13470.0,5.39,-0.2,0.0,0.2
2025-10-23,370090,13270.0,5.29,0.0,0.0,-0.0
2025-10-24,370090,13130.0,5.38,-0.2,-0.0,0.2
2025-10-27,370090,13020.0,5.33,0.1,0.0,-0.1
2025-10-28,370090,12900.0,5.32,0.0,0.0,-0.0
2025-10-29,370090,12900.0,5.3,-0.0,0.0,0.1
2025-10-30,370090,13010.0,5.27,-1.0,0.0,0.9
2025-10-31,370090,13610.0,5.11,3.4,-0.0,-3.5
2025-11-03,370090,14180.0,5.63,-0.4,0.1,0.3
2025-11-04,370090,13800.0,5.54,-0.3,0.0,0.3
2025-11-05,370090,13110.0,5.48,-3.6,-0.0,3.6
2025-11-06,370090,13000.0,5.03,-0.2,0.0,0.2
2025-11-07,370090,12400.0,5.01,-4.1,0.0,4.1
2025-11-10,370090,12420.0,4.51,0.3,0.0,-0.4
2025-11-11,370090,12340.0,4.29,-0.5,0.0,0.5
2025-11-12,370090,12790.0,4.24,1.1,0.0,-1.1
2025-11-13,370090,12660.0,4.34,0.0,0.0,-0.0
2025-11-14,370090,12430.0,4.33,-0.1,0.0,0.1
2025-11-17,370090,12300.0,4.34,-0.5,-0.0,0.5
2025-11-18,370090,11610.0,4.27,-1.3,0.0,1.1
2025-11-19,370090,11510.0,4.25,0.7,0.0,-0.7
2025-11-20,370090,11610.0,4.34,0.5,-0.0,-0.5
2025-11-21,370090,11000.0,4.38,-0.2,0.0,0.2
2025-11-24,370090,10830.0,4.35,0.7,-0.0,-0.7
2025-11-25,370090,10910.0,4.43,1.0,0.0,-1.0
2025-11-26,370090,11450.0,4.55,1.2,0.0,-1.2
2025-11-27,370090,11480.0,4.76,0.4,0.0,-0.4
2025-11-28,370090,12000.0,4.81,1.8,-0.0,-1.8
2025-12-01,370090,12250.0,5.05,1.1,0.0,-1.0
2025-12-02,370090,12580.0,5.15,1.1,0.0,-1.2
2025-12-03,370090,12600.0,5.23,0.2,0.0,-0.2
2025-12-04,370090,12670.0,5.26,1.3,-0.0,-1.5
2025-12-05,370090,12850.0,5.35,0.5,-0.0,-0.5
2025-12-08,370090,13120.0,5.39,-0.1,-0.0,0.1
2025-12-09,370090,12930.0,5.38,0.7,0.0,-0.7
2025-12-10,370090,12700.0,5.44,0.4,0.0,-0.4
2025-12-11,370090,12830.0,5.47,1.8,-0.0,-1.8
2025-12-12,370090,13050.0,5.65,0.8,0.0,-0.8
2025-12-15,370090,12840.0,5.74,0.2,-0.0,-0.2
2025-12-16,370090,14710.0,5.74,-11.8,-0.0,11.9
2025-12-17,370090,15870.0,4.7,-5.5,0.0,5.6
2025-12-18,370090,14660.0,4.27,-0.1,0.0,0.1
2025-12-19,370090,15140.0,4.45,-4.0,-0.0,4.0
2025-12-22,370090,15380.0,4.01,2.6,-0.0,-2.5
2025-12-23,370090,14380.0,4.32,-4.8,0.0,5.1
2025-12-24,370090,17860.0,3.86,-0.2,0.0,0.1
2025-12-26,370090,17400.0,4.1,1.6,0.0,-0.8
2025-12-29,370090,17710.0,4.24,0.7,-0.0,-2.1
2025-12-30,370090,16910.0,4.3,5.0,0.0,-5.1
2026-01-02,370090,17230.0,4.4,0.9,0.0,-0.9
2026-01-05,370090,17210.0,4.46,-1.4,0.0,2.5
2026-01-06,370090,16830.0,4.39,-10.7,0.0,10.0
2026-01-07,370090,17430.0,3.71,7.5,-0.0,-6.8
2026-01-08,370090,16040.0,4.28,-7.9,-0.1,7.7
2026-01-09,370090,15500.0,3.72,1.1,-0.0,-0.9
2026-01-12,370090,15590.0,3.8,-0.3,0.0,0.2
