# F1 스트레스 테스트 — 성과를 깎는 방향만 허용 (상향 튜닝 금지)
# ①만기누락=-100% ②시총 하위 20% 제외(거래대금 미보유로 프록시) ③왕복 1.0%
# 랜덤 벤치마크는 만기누락 제외 방식 유지 → 전략에만 불리한 보수적 비교
시장,전략,진입월,종목수,만기누락,수익률,수익률_최악,시장프록시,랜덤평균,기본,①최악가정,③비용1%,④최악조합
KOSPI,F1,2016-04,20,0,0.17985483710149272,0.17985483710149272,0.011306522727304385,-0.01225061236467791,0.19210544946617064,0.19210544946617064,0.18210544946617063,0.18210544946617063
KOSPI,F1L,2016-04,20,0,-0.06908803271324448,-0.06908803271324448,0.011306522727304385,-0.01225061236467791,-0.05683742034856658,-0.05683742034856658,-0.06683742034856657,-0.06683742034856657
KOSPI,F1,2016-05,20,0,0.026121865055735754,0.026121865055735754,0.0023140076626746997,-0.04976867531760096,0.07589054037333672,0.07589054037333672,0.06589054037333672,0.06589054037333672
KOSPI,F1L,2016-05,20,0,0.038917477869278384,0.038917477869278384,0.0023140076626746997,-0.04976867531760096,0.08868615318687934,0.08868615318687934,0.07868615318687934,0.07868615318687934
KOSPI,F1,2016-06,20,0,0.056723385429178375,0.056723385429178375,0.029721371629523638,0.024547429207861984,0.03217595622131639,0.03217595622131639,0.02217595622131639,0.02217595622131639
KOSPI,F1L,2016-06,20,0,0.03198893260682704,0.03198893260682704,0.029721371629523638,0.024547429207861984,0.007441503398965054,0.007441503398965054,-0.002558496601034948,-0.002558496601034948
KOSPI,F1,2016-07,20,0,0.02102990156494658,0.02102990156494658,0.03430038648492398,-0.025760132668703188,0.04679003423364977,0.04679003423364977,0.036790034233649765,0.036790034233649765
KOSPI,F1L,2016-07,20,0,-0.02403739132784944,-0.02403739132784944,0.03430038648492398,-0.025760132668703188,0.0017227413408537479,0.0017227413408537479,-0.008277258659146254,-0.008277258659146254
KOSPI,F1,2016-08,20,0,0.053475340453041566,0.053475340453041566,0.03312581584355047,0.005165164638612905,0.04831017581442866,0.04831017581442866,0.03831017581442866,0.03831017581442866
KOSPI,F1L,2016-08,20,0,0.012356567956714271,0.012356567956714271,0.03312581584355047,0.005165164638612905,0.007191403318101366,0.007191403318101366,-0.002808596681898634,-0.002808596681898634
KOSPI,F1,2016-09,20,0,0.05386754000618823,0.05386754000618823,0.06515299888035835,0.09266920205182831,-0.03880166204564008,-0.03880166204564008,-0.048801662045640085,-0.048801662045640085
KOSPI,F1L,2016-09,20,0,0.01995290157337325,0.01995290157337325,0.06515299888035835,0.09266920205182831,-0.07271630047845506,-0.07271630047845506,-0.08271630047845506,-0.08271630047845506
KOSPI,F1,2016-10,20,1,0.055206032828297794,0.0024457311868829046,0.10720650532446035,0.09540100983066874,-0.040194977002370944,-0.09295527864378583,-0.050194977002370945,-0.10295527864378583
KOSPI,F1L,2016-10,20,1,0.02949226596354601,-0.02198234733463129,0.10720650532446035,0.09540100983066874,-0.06590874386712273,-0.11738335716530003,-0.07590874386712274,-0.12738335716530003
KOSPI,F1,2016-11,20,1,0.1399739505855865,0.08297525305630718,0.19081551224771295,0.13652771474307457,0.003446235842511941,-0.05355246168676739,-0.006553764157488068,-0.06355246168676738
KOSPI,F1L,2016-11,20,1,0.14699530461491142,0.08964553938416583,0.19081551224771295,0.13652771474307457,0.010467589871836852,-0.046882175358908734,0.0004675898718368432,-0.05688217535890873
KOSPI,F1,2016-12,20,1,0.5636707173706315,0.48548718150209985,0.1894013065274838,0.1221857284523178,0.44148498891831367,0.36330145304978206,0.43148498891831366,0.35330145304978205
KOSPI,F1L,2016-12,20,1,0.1604550808847965,0.1024323268405567,0.1894013065274838,0.1221857284523178,0.03826935243247871,-0.019753401611761104,0.028269352432478703,-0.0297534016117611
