# 사전 예상: 종가→종가 약한 양(+) 가능 / 시가→종가 ≈ 0 (갭 선취) / 비용후 전 조합 음수
# 판정 기준(고정): 초반 양수→0 수렴 = 단명 신호 / 전 구간 0 근처 = 신호 없음 / 며칠 뒤 증가 = 해석 금지, 우연 의심
# 한계: 표본 ~240거래일이지만 기간 1년(단일 장세) — 월 검증과 표본 성격이 다름
시장,신호일,진입일,종목수,cc1,oc1,r1,rand1,r2,rand2,r3,rand3,r5,rand5,r10,rand10,ex1,ex2,ex3,ex5,ex10
KOSPI,2025-07-14,2025-07-15,20,0.0008514990482461126,-0.005108554550901823,-0.005108554550901823,-0.0009776570905937038,-0.0255408601488843,-0.011200487997841829,-0.03276028827923693,-0.009092309073048152,-0.06220042076547942,-0.014769003571471815,-0.11728187832548334,-0.0454869821586652,-0.0041308974603081194,-0.01434037215104247,-0.02366797920618878,-0.047431417194007605,-0.07179489616681814
KOSPI,2025-07-15,2025-07-16,20,0.0017607648968535727,-0.009324541276743776,-0.009324541276743776,-0.009900015090142777,-0.005477556198083972,-0.00795650626972251,-0.01885757660763816,-0.014682434886924077,-0.008361147640968597,-0.022747165126887733,-0.018801691172773312,-0.040967357253710306,0.0005754738133990009,0.0024789500716385386,-0.004175141720714082,0.014386017485919136,0.022165666080936994
KOSPI,2025-07-16,2025-07-17,20,0.017834736031714888,0.0021106745120605176,0.0021106745120605176,-0.004412891621986309,-0.014966119092302176,-0.007696011066101336,-0.021699986036057613,-0.009010278400031449,-0.04043231228586885,-0.015681318491894667,-0.05383226227503428,-0.033979512612938564,0.006523566134046827,-0.00727010802620084,-0.012689707636026164,-0.02475099379397418,-0.019852749662095714
KOSPI,2025-07-17,2025-07-18,20,-0.006665163777132138,-0.01003709640079547,-0.01003709640079547,-0.006990013835451439,-0.02957720554177799,-0.008247900737713277,-0.043350368680298956,-0.01691953854829197,-0.0486008451874348,-0.023559726946200902,-0.08717907368171704,-0.03242820285143816,-0.0030470825653440316,-0.02132930480406471,-0.026430830132006988,-0.0250411182412339,-0.05475087083027888
KOSPI,2025-07-18,2025-07-21,20,0.009160810352718912,0.0058251513704229985,0.0058251513704229985,-0.0008201594269406491,-0.006681995032425098,-0.00814157868186493,-0.0016274972250202857,-0.007258826427646461,-0.013085918051221751,-0.018200682628519732,-0.07609106668727354,-0.056748146428202764,0.006645310797363647,0.001459583649439833,0.005631329202626175,0.005114764577297981,-0.01934292025907078
KOSPI,2025-07-21,2025-07-22,20,-0.017137863178417534,-0.01979732477328327,-0.01979732477328327,-0.010447430816344756,-0.019217714021025574,-0.009779085448773865,-0.02118091544092109,-0.019358697303155478,-0.014114675946551303,-0.032044115620787406,-0.04030397387835204,-0.049921971495482984,-0.009349893956938513,-0.009438628572251709,-0.0018222181377656119,0.017929439674236103,0.009617997617130947
KOSPI,2025-07-22,2025-07-23,20,0.007495512309776192,0.010237854107976712,0.010237854107976712,-0.00396182629058928,0.019250351489180466,-0.010743258188225732,0.022284173102443534,-0.01332450050655532,0.010640746499060305,-0.020424471913147425,0.027948908600152568,-0.030801112360472328,0.014199680398565992,0.029993609677406198,0.03560867360899885,0.031065218412207732,0.0587500209606249
KOSPI,2025-07-23,2025-07-24,20,-0.007425799775962294,-0.013629604335710139,-0.013629604335710139,-0.010672817816129833,-0.01993410024063416,-0.012925320971423307,-0.02373887391945422,-0.02634329800768952,-0.02296666944836474,-0.018407139108584037,-0.03294811278894548,-0.018425791848152163,-0.0029567865195803053,-0.007008779269210855,0.0026044240882352986,-0.004559530339780703,-0.014522320940793317
KOSPI,2025-07-24,2025-07-25,20,-0.019014965219780217,-0.014610687018018731,-0.014610687018018731,-0.0010280265598056307,-0.01449381686655069,-0.014497375685985869,-0.0005976979116447401,-0.011818191183181144,-0.009171139634505554,-0.010133268209439687,-0.009713396745963781,-0.008069841600667173,-0.013582660458213101,3.558819435178426e-06,0.011220493271536404,0.0009621285749341329,-0.0016435551452966077
KOSPI,2025-07-25,2025-07-28,20,-0.010090179883759032,-0.007091249375848952,-0.007091249375848952,-0.015045899289844783,-0.0020825035449839715,-0.01207102536763979,-0.025645292241373276,-0.010015132223554164,-0.061214568431652426,-0.04174864406181926,0.007544481367524248,-0.011429224110361682,0.007954649913995832,0.009988521822655819,-0.01563016001781911,-0.019465924369833167,0.01897370547788593
