# 사전 예상: 월 H2(지속성)와 동형 — 서열은 있되 랜덤 미달 (달라도 그대로 보고)
# 한계: 강도 분모는 유통물량이 아닌 상장주식수 근사
# 한계: 일별 데이터 2025-07~ → 진입 표본 ~10회, 전부 후반 구간 — 기간 분할 무의미
시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,평균초과_랜덤_비용후%p,누적배수(중첩단순),최악의달,만기누락합
KOSDAQ,B1,1,11,20.0,45.5,54.5,1.24,0.15,-1.52,-1.82,0.95,2026-05 (-28.5%),2
KOSDAQ,B1,3,9,20.0,55.6,55.6,8.07,1.67,-2.02,-2.32,1.45,2026-04 (-50.0%),2
KOSDAQ,B2,1,11,20.0,54.5,45.5,0.58,-0.51,-2.18,-2.48,0.99,2026-05 (-22.2%),3
KOSDAQ,B2,3,9,20.0,66.7,55.6,8.75,2.34,-1.34,-1.64,1.88,2026-04 (-22.9%),3
KOSPI,B1,1,11,20.0,27.3,54.5,-0.48,-9.12,-3.26,-3.56,0.88,2026-04 (-19.4%),0
KOSPI,B1,3,9,20.0,11.1,55.6,10.41,-21.66,0.81,0.51,1.9,2026-04 (-35.9%),2
KOSPI,B2,1,11,20.0,36.4,54.5,7.59,-1.05,4.82,4.52,1.8,2026-05 (-18.9%),0
KOSPI,B2,3,9,20.0,33.3,66.7,16.14,-15.94,6.54,6.24,3.18,2026-04 (-33.8%),1
