# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유,진입월,사건ID,사건,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,E1,1,2022-02,A06,러시아-우크라이나 전쟁,30,0,0.041311345478232356,0.019891909612138405,0.059779529584957886,0.02141943586609395,-0.01846818410672553,0.03831134547823235,-0.021468184106725532
KOSPI,E2,1,2022-02,A06,러시아-우크라이나 전쟁,30,0,0.13607547316877772,0.019891909612138405,0.059779529584957886,0.11618356355663931,0.07629594358381983,0.1330754731687777,0.07329594358381983
KOSPI,E1,3,2022-02,A06,러시아-우크라이나 전쟁,30,0,-0.0349888103956578,-0.010157617330985275,0.038732368080987165,-0.024831193064672526,-0.07372117847664497,-0.0379888103956578,-0.07672117847664497
KOSPI,E2,3,2022-02,A06,러시아-우크라이나 전쟁,30,0,0.04857234851656365,-0.010157617330985275,0.038732368080987165,0.05872996584754892,0.009839980435576483,0.045572348516563645,0.00683998043557648
KOSPI,E1,6,2022-02,A06,러시아-우크라이나 전쟁,30,0,-0.11611012926512992,-0.08968877220817559,-0.04579961384488525,-0.026421357056954337,-0.07031051542024468,-0.11911012926512993,-0.07331051542024468
KOSPI,E2,6,2022-02,A06,러시아-우크라이나 전쟁,30,0,-0.08413834037894877,-0.08968877220817559,-0.04579961384488525,0.005550431829226821,-0.03833872653406352,-0.08713834037894877,-0.04133872653406352
KOSPI,E1,1,2023-10,A07,이스라엘-하마스 전쟁,30,0,0.05532846325024689,0.1086046286274776,0.09230149161904086,-0.05327616537723072,-0.03697302836879397,0.052328463250246884,-0.039973028368793975
KOSPI,E2,1,2023-10,A07,이스라엘-하마스 전쟁,30,0,0.11374730813033491,0.1086046286274776,0.09230149161904086,0.005142679502857309,0.021445816511294055,0.11074730813033491,0.018445816511294053
KOSPI,E1,3,2023-10,A07,이스라엘-하마스 전쟁,30,1,0.06776356980678258,0.09366742812144095,0.07233053711839926,-0.02590385831465837,-0.004566967311616682,0.06476356980678258,-0.007566967311616685
KOSPI,E2,3,2023-10,A07,이스라엘-하마스 전쟁,30,0,0.00039149073839019147,0.09366742812144095,0.07233053711839926,-0.09327593738305076,-0.07193904638000907,-0.0026085092616098086,-0.07493904638000908
KOSPI,E1,6,2023-10,A07,이스라엘-하마스 전쟁,30,1,0.11816025556875755,0.18479695998806578,0.12475663298759482,-0.06663670441930823,-0.006596377418837271,0.11516025556875754,-0.009596377418837274
KOSPI,E2,6,2023-10,A07,이스라엘-하마스 전쟁,30,0,0.1533461792694702,0.18479695998806578,0.12475663298759482,-0.03145078071859558,0.028589546281875378,0.1503461792694702,0.025589546281875375
KOSPI,E1,1,2026-02,A08,미국-이란 전쟁 (2026),30,0,-0.1670516613182105,-0.19134646833263214,-0.08044320931465496,0.024294807014421632,-0.08660845200355555,-0.1700516613182105,-0.08960845200355555
KOSPI,E2,1,2026-02,A08,미국-이란 전쟁 (2026),30,0,-0.1472322772615803,-0.19134646833263214,-0.08044320931465496,0.04411419107105183,-0.06678906794692535,-0.1502322772615803,-0.06978906794692535
KOSPI,E1,3,2026-02,A08,미국-이란 전쟁 (2026),30,0,0.20892767500728823,0.35190779097700436,0.10362141235584105,-0.14298011596971613,0.10530626265144719,0.20592767500728823,0.10230626265144718
KOSPI,E2,3,2026-02,A08,미국-이란 전쟁 (2026),30,0,0.44804686415819234,0.35190779097700436,0.10362141235584105,0.09613907318118797,0.3444254518023513,0.44504686415819233,0.3414254518023513
KOSPI,E1,1,2023-03,B07,SVB 뱅크런,30,0,0.01827624506305788,0.010121568040452989,0.0015713242127736804,0.00815467702260489,0.0167049208502842,0.01527624506305788,0.0137049208502842
KOSPI,E2,1,2023-03,B07,SVB 뱅크런,30,0,-0.013014909744441746,0.010121568040452989,0.0015713242127736804,-0.023136477784894735,-0.014586233957215426,-0.016014909744441745,-0.017586233957215425
KOSPI,E1,3,2023-03,B07,SVB 뱅크런,30,0,0.23808979395930124,0.04399306136690695,0.044541200482624915,0.1940967325923943,0.19354859347667633,0.23508979395930124,0.19054859347667633
KOSPI,E2,3,2023-03,B07,SVB 뱅크런,30,0,0.1701000220391176,0.04399306136690695,0.044541200482624915,0.12610696067221064,0.12555882155649267,0.16710002203911759,0.12255882155649267
KOSPI,E1,6,2023-03,B07,SVB 뱅크런,30,0,0.8963053270197674,0.0014361794753396512,0.017790788900290917,0.8948691475444277,0.8785145381194764,0.8933053270197674,0.8755145381194764
KOSPI,E2,6,2023-03,B07,SVB 뱅크런,30,0,0.6389275173515592,0.0014361794753396512,0.017790788900290917,0.6374913378762195,0.6211367284512682,0.6359275173515592,0.6181367284512682
KOSPI,E1,1,2020-03,C02,코로나19 팬데믹,30,0,0.1777795153653297,0.106396100540043,0.19561714734034522,0.0713834148252867,-0.017837631975015505,0.1747795153653297,-0.020837631975015508
KOSPI,E2,1,2020-03,C02,코로나19 팬데믹,30,0,0.23203747584505569,0.106396100540043,0.19561714734034522,0.12564137530501268,0.03642032850471047,0.22903747584505568,0.03342032850471047
KOSPI,E1,3,2020-03,C02,코로나19 팬데믹,30,0,0.40449520949441975,0.19807595487920313,0.2998131763300322,0.20641925461521662,0.10468203316438757,0.40149520949441975,0.10168203316438756
KOSPI,E2,3,2020-03,C02,코로나19 팬데믹,30,0,0.3472244602547489,0.19807595487920313,0.2998131763300322,0.14914850537554578,0.04741128392471672,0.3442244602547489,0.044411283924716716
KOSPI,E1,6,2020-03,C02,코로나19 팬데믹,30,1,0.7148470201401409,0.3237226790876426,0.5505440879263276,0.3911243410524983,0.1643029322138133,0.7118470201401409,0.1613029322138133
KOSPI,E2,6,2020-03,C02,코로나19 팬데믹,30,0,1.5949637390523808,0.3237226790876426,0.5505440879263276,1.2712410599647381,1.044419651126053,1.5919637390523809,1.0414196511260534
KOSPI,E1,1,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.08721975074223583,0.04909594928494091,0.08108968502513726,0.038123801457294916,0.006130065717098565,0.08421975074223582,0.0031300657170985624
KOSPI,E2,1,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.09244382238053689,0.04909594928494091,0.08108968502513726,0.04334787309559598,0.011354137355399627,0.08944382238053689,0.008354137355399624
KOSPI,E1,3,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.08619093191414752,-0.0366292174902961,0.03726706571509663,0.12282014940444362,0.04892386619905089,0.08319093191414752,0.04592386619905089
KOSPI,E2,3,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.0331204545167605,-0.0366292174902961,0.03726706571509663,0.0697496720070566,-0.004146611198336127,0.030120454516760504,-0.007146611198336126
KOSPI,E1,6,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.054324637928923024,-0.050451440237246986,0.08744192189142908,0.10477607816617002,-0.03311728396250605,0.05132463792892302,-0.036117283962506054
KOSPI,E2,6,2021-11,C03,코로나 변이 (오미크론 쇼크),30,0,0.07481008709245532,-0.050451440237246986,0.08744192189142908,0.1252615273297023,-0.012631834798973757,0.07181008709245532,-0.01563183479897376
KOSPI,E1,1,2021-09,C04,에버그란데 위기,30,0,-0.009134849665081376,-0.0334893282048767,-0.01924888313238,0.024354478539795322,0.010114033467298625,-0.012134849665081375,0.007114033467298626
KOSPI,E2,1,2021-09,C04,에버그란데 위기,30,0,-0.06399105680779228,-0.0334893282048767,-0.01924888313238,-0.030501728602915584,-0.04474217367541228,-0.06699105680779228,-0.04774217367541228
KOSPI,E1,3,2021-09,C04,에버그란데 위기,30,0,-0.06127414159919685,-0.03670954531946296,-0.05414542369156477,-0.02456459627973389,-0.00712871790763208,-0.06427414159919685,-0.010128717907632083
KOSPI,E2,3,2021-09,C04,에버그란데 위기,30,0,-0.1339594669661616,-0.03670954531946296,-0.05414542369156477,-0.09724992164669863,-0.07981404327459682,-0.1369594669661616,-0.08281404327459682
