시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,a,1,2016-04,12,0,0.00800070043006589,-0.004818683863067559,0.02521366087910204,0.01281938429313345,-0.017212960449036148,0.00500070043006589,-0.02021296044903615
KOSPI,b,1,2016-04,20,0,0.013814351141800634,-0.004818683863067559,0.016550759345702427,0.018633035004868195,-0.0027364082039017922,0.010814351141800634,-0.005736408203901793
KOSPI,c,1,2016-04,5,0,-0.01869722990053071,-0.004818683863067559,0.09390529819671473,-0.01387854603746315,-0.11260252809724544,-0.021697229900530707,-0.11560252809724543
KOSPI,a,3,2016-04,12,0,-0.035956180931123544,0.014219417844670628,0.06487062196812865,-0.050175598775794174,-0.1008268028992522,-0.038956180931123546,-0.1038268028992522
KOSPI,b,3,2016-04,20,0,-0.01217307670556963,0.014219417844670628,0.0340430470178631,-0.02639249455024026,-0.04621612372343273,-0.015173076705569631,-0.04921612372343273
KOSPI,c,3,2016-04,5,0,-0.11794219982002718,0.014219417844670628,0.059787720289657474,-0.1321616176646978,-0.17772992010968466,-0.12094219982002719,-0.18072992010968467
KOSPI,a,6,2016-04,12,0,-0.08204906911210277,0.011306522727304385,0.013825302774823628,-0.09335559183940716,-0.09587437188692641,-0.08504906911210278,-0.09887437188692641
KOSPI,b,6,2016-04,20,0,-0.08814310756068097,0.011306522727304385,-0.01225061236467791,-0.09944963028798535,-0.07589249519600307,-0.09114310756068097,-0.07889249519600307
KOSPI,c,6,2016-04,5,0,-0.22150222984314633,0.011306522727304385,-0.009486041453905972,-0.23280875257045072,-0.21201618838924036,-0.22450222984314633,-0.21501618838924036
KOSPI,a,1,2016-05,10,0,-0.0012857751829937203,-0.004888993607062026,-0.013664787361575961,0.0036032184240683057,0.012379012178582241,-0.00428577518299372,0.009379012178582242
KOSPI,b,1,2016-05,20,0,0.010287548088806536,-0.004888993607062026,-0.009342478402524916,0.015176541695868562,0.01963002649133145,0.0072875480888065355,0.01663002649133145
KOSPI,c,1,2016-05,4,0,0.04589628715761501,-0.004888993607062026,-0.008346026709780517,0.05078528076467704,0.05424231386739553,0.04289628715761501,0.05124231386739553
KOSPI,a,3,2016-05,10,0,-0.020511833303139326,0.029593467400888977,-0.013300194365320244,-0.0501053007040283,-0.007211638937819082,-0.023511833303139325,-0.010211638937819081
