# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,시차,구간시작,구간끝,종목수
KOSPI,선행2주,0.6,0.7,0
KOSPI,선행2주,0.7,0.8,0
KOSPI,선행2주,0.8,0.9,0
KOSPI,선행2주,0.9,1.0,0
KOSPI,선행4주,-1.0,-0.9,0
KOSPI,선행4주,-0.9,-0.8,0
KOSPI,선행4주,-0.8,-0.7,0
KOSPI,선행4주,-0.7,-0.6,1
KOSPI,선행4주,-0.6,-0.5,0
KOSPI,선행4주,-0.5,-0.4,3
KOSPI,선행4주,-0.4,-0.3,9
KOSPI,선행4주,-0.3,-0.2,55
KOSPI,선행4주,-0.2,-0.1,140
KOSPI,선행4주,-0.1,-0.0,233
KOSPI,선행4주,-0.0,0.1,211
KOSPI,선행4주,0.1,0.2,149
KOSPI,선행4주,0.2,0.3,62
KOSPI,선행4주,0.3,0.4,16
KOSPI,선행4주,0.4,0.5,3
KOSPI,선행4주,0.5,0.6,1
KOSPI,선행4주,0.6,0.7,0
KOSPI,선행4주,0.7,0.8,0
KOSPI,선행4주,0.8,0.9,0
KOSPI,선행4주,0.9,1.0,0
