# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,001685,52,0.372,-0.019,-0.044,-0.045,상
KOSPI,001720,52,0.074,0.257,0.091,0.117,중
KOSPI,001740,52,-0.068,-0.415,-0.205,0.042,하
KOSPI,001750,52,0.199,0.156,-0.033,-0.222,중
KOSPI,001755,52,-0.089,-0.067,-0.032,-0.143,하
KOSPI,001770,52,-0.781,0.16,-0.033,0.232,하
KOSPI,001780,52,0.262,-0.099,-0.324,-0.339,중
KOSPI,001790,52,0.511,0.091,-0.071,0.154,상
KOSPI,001795,52,-0.022,0.085,0.368,0.155,하
KOSPI,001800,52,-0.168,0.339,0.214,0.053,하
KOSPI,001820,52,-0.061,0.24,0.124,0.015,하
KOSPI,001940,52,0.138,-0.062,-0.18,0.177,중
KOSPI,002020,52,0.004,0.026,0.189,-0.022,중
KOSPI,002025,52,0.041,0.268,0.033,0.179,중
KOSPI,002030,52,0.317,0.294,-0.105,0.169,상
KOSPI,002070,50,-0.165,0.075,0.003,0.015,하
KOSPI,002100,52,0.499,0.327,0.058,0.065,상
KOSPI,002140,52,-0.088,0.174,0.062,0.125,하
KOSPI,002150,52,0.434,0.285,0.059,0.225,상
KOSPI,002170,52,0.306,-0.028,0.179,-0.125,상
KOSPI,002200,52,0.288,0.233,0.035,0.227,상
KOSPI,002210,0,,,,,
KOSPI,002220,52,0.509,-0.224,0.065,-0.052,상
KOSPI,002240,52,0.1,0.138,0.183,0.095,중
KOSPI,002310,52,-0.088,0.08,0.032,0.175,하
KOSPI,002320,52,0.484,0.08,-0.002,0.027,상
KOSPI,002350,52,0.515,0.106,-0.039,-0.058,상
KOSPI,002355,52,-0.275,-0.083,-0.07,-0.005,하
KOSPI,002360,50,-0.175,0.234,-0.153,-0.25,하
KOSPI,002380,52,-0.02,-0.05,0.176,0.072,하
KOSPI,002390,52,0.441,0.34,0.077,0.179,상
KOSPI,002410,0,,,,,
KOSPI,002420,52,0.046,0.086,-0.112,-0.097,중
KOSPI,002450,52,0.724,-0.008,-0.449,0.167,상
KOSPI,002460,52,0.287,0.242,0.008,-0.216,상
KOSPI,002600,46,-0.241,-0.201,-0.017,0.028,하
KOSPI,002620,52,0.388,0.092,0.23,-0.235,상
KOSPI,002630,50,-0.212,-0.046,-0.016,-0.148,하
KOSPI,002690,52,0.489,0.258,-0.035,0.136,상
KOSPI,002700,52,0.011,0.308,-0.059,0.225,중
KOSPI,002710,52,0.274,-0.032,-0.273,-0.08,중
KOSPI,002720,52,0.059,0.097,-0.072,0.076,중
