# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,011690,52,0.029,-0.096,0.033,0.071,중
KOSPI,011700,52,-0.09,0.226,0.03,0.027,하
KOSPI,011760,52,0.228,-0.139,0.061,-0.093,중
KOSPI,011780,52,0.133,0.14,0.047,-0.067,중
KOSPI,011785,52,0.608,0.115,-0.238,0.15,상
KOSPI,011790,52,0.551,-0.032,-0.101,0.068,상
KOSPI,011810,0,,,,,
KOSPI,011930,50,-0.039,0.142,0.036,-0.615,하
KOSPI,012030,52,0.449,-0.16,0.005,0.082,상
KOSPI,0120G0,33,0.256,-0.268,0.043,0.096,
KOSPI,012160,50,-0.168,-0.151,-0.139,0.029,하
KOSPI,012170,52,-0.2,0.075,-0.135,0.245,하
KOSPI,012200,52,-0.209,-0.104,-0.102,-0.029,하
KOSPI,012205,31,0.267,0.126,0.119,-0.125,
KOSPI,012280,52,0.288,0.15,0.006,-0.124,상
KOSPI,012320,52,-0.064,0.172,-0.101,0.155,하
KOSPI,012330,52,-0.363,0.009,0.054,0.333,하
KOSPI,012450,52,0.603,-0.01,-0.094,-0.073,상
KOSPI,012510,49,0.017,-0.054,-0.162,0.131,중
KOSPI,012610,52,0.138,-0.213,-0.113,-0.05,중
KOSPI,012630,52,0.154,-0.073,0.078,-0.17,중
KOSPI,012690,52,-0.185,0.134,0.056,-0.133,하
KOSPI,0126Z0,33,-0.093,-0.613,-0.653,-0.131,
KOSPI,012750,52,0.365,0.188,0.085,-0.048,상
KOSPI,012800,52,0.54,-0.274,0.16,0.115,상
KOSPI,013000,52,-0.19,0.134,-0.184,0.017,하
KOSPI,013360,52,-0.328,0.082,0.099,0.166,하
KOSPI,013520,52,0.097,-0.102,-0.174,-0.014,중
KOSPI,013570,52,0.15,0.25,-0.051,-0.102,중
KOSPI,013580,52,-0.17,-0.017,0.118,0.38,하
KOSPI,013700,52,0.181,-0.133,-0.164,-0.002,중
KOSPI,013870,52,-0.141,0.138,0.099,-0.244,하
KOSPI,013890,52,0.036,0.036,-0.063,-0.147,중
KOSPI,014130,52,0.186,0.088,0.241,-0.09,중
KOSPI,014160,52,-0.05,0.04,-0.251,0.02,하
KOSPI,014280,52,-0.137,0.136,-0.15,-0.104,하
KOSPI,014285,32,-0.055,0.111,-0.037,0.081,
KOSPI,014440,52,0.131,0.291,-0.133,-0.061,중
KOSPI,014530,52,-0.056,0.312,0.071,-0.001,하
KOSPI,014580,52,0.58,0.247,-0.377,0.128,상
KOSPI,014680,52,-0.039,0.235,-0.03,0.064,하
KOSPI,014710,52,0.186,0.033,0.023,-0.188,중
KOSPI,014790,52,0.097,0.092,0.073,0.04,중
KOSPI,014820,52,0.336,0.092,-0.07,-0.022,상
KOSPI,014825,9,,,,,
KOSPI,014830,52,0.039,0.238,0.112,-0.189,중
KOSPI,014910,52,-0.372,-0.011,-0.216,0.072,하
KOSPI,014915,3,-0.143,0.191,0.529,1.0,
KOSPI,014990,50,-0.031,-0.065,0.154,0.084,하
KOSPI,015020,34,0.218,0.137,-0.325,0.136,
KOSPI,015230,52,0.5,-0.193,-0.019,0.018,상
KOSPI,015260,52,-0.369,0.014,-0.028,-0.103,하
KOSPI,015360,52,0.196,0.033,-0.119,-0.1,중
KOSPI,015590,10,0.237,-0.018,-0.168,-0.402,
KOSPI,015760,52,0.423,0.292,0.142,0.23,상
KOSPI,015860,52,0.266,0.203,0.134,-0.277,중
KOSPI,015890,52,0.53,0.004,-0.052,-0.022,상
KOSPI,016090,52,0.49,0.333,-0.031,0.157,상
KOSPI,016360,52,-0.177,0.161,0.153,0.088,하
KOSPI,016380,52,0.482,0.298,0.174,-0.191,상
KOSPI,016450,52,0.574,-0.101,-0.144,0.136,상
KOSPI,016580,52,0.369,-0.043,-0.114,-0.073,상
KOSPI,016590,52,-0.476,0.026,-0.063,0.096,하
KOSPI,016610,52,0.044,0.181,0.156,-0.058,중
KOSPI,016710,52,0.452,0.166,0.111,-0.022,상
KOSPI,016740,52,0.534,-0.167,0.185,0.072,상
KOSPI,016800,52,-0.208,0.104,0.007,-0.013,하
KOSPI,016880,52,-0.078,-0.119,-0.109,-0.059,하
KOSPI,017040,38,0.087,0.101,-0.049,0.028,
KOSPI,017180,52,0.134,-0.002,0.02,0.141,중
KOSPI,017370,52,-0.037,0.002,-0.04,0.216,하
KOSPI,017390,52,0.454,-0.08,-0.212,0.173,상
KOSPI,017550,52,-0.277,0.166,-0.239,0.02,하
KOSPI,017670,52,0.381,0.245,0.412,0.022,상
KOSPI,017800,52,-0.3,-0.161,0.213,0.168,하
KOSPI,017810,52,-0.549,-0.121,0.277,0.193,하
KOSPI,017860,52,-0.065,0.034,-0.193,0.091,하
KOSPI,017900,52,-0.429,-0.036,0.139,0.121,하
KOSPI,017940,52,0.341,-0.005,0.223,0.164,상
KOSPI,017960,52,-0.244,-0.01,0.045,-0.002,하
KOSPI,018250,52,-0.065,0.453,0.08,-0.181,하
KOSPI,018260,52,-0.485,0.085,-0.144,0.028,하
KOSPI,018470,52,0.103,-0.162,-0.031,0.012,중
KOSPI,018500,52,0.501,0.219,-0.253,0.049,상
KOSPI,018670,52,-0.025,-0.153,0.089,-0.216,하
KOSPI,018880,52,0.246,0.022,0.296,0.008,중
KOSPI,019170,52,-0.184,0.296,0.026,0.05,하
KOSPI,019175,32,0.33,-0.325,0.169,-0.311,
KOSPI,019180,52,0.395,0.034,0.209,0.008,상
KOSPI,019440,27,0.211,0.161,0.198,-0.124,
KOSPI,019490,18,0.687,-0.395,0.264,-0.136,
KOSPI,019680,52,0.294,0.198,0.12,-0.045,상
KOSPI,019685,52,-0.447,-0.184,-0.284,0.377,하
KOSPI,020000,52,-0.098,0.186,0.368,0.017,하
KOSPI,020120,52,0.508,-0.165,-0.158,-0.07,상
KOSPI,020150,52,-0.05,-0.169,0.115,0.195,하
KOSPI,020560,52,0.491,0.087,-0.077,0.11,상
KOSPI,020760,8,0.726,-0.195,-0.008,-0.164,
KOSPI,021050,52,0.263,0.148,-0.041,0.047,중
KOSPI,021240,52,-0.21,0.158,-0.028,0.076,하
KOSPI,021820,52,-0.126,-0.211,-0.084,0.204,하
KOSPI,022100,52,0.209,-0.325,-0.019,-0.014,중
KOSPI,023000,52,0.289,0.067,0.165,0.05,상
KOSPI,023150,52,0.05,0.079,-0.103,0.025,중
KOSPI,023350,52,0.358,0.413,-0.139,0.332,상
KOSPI,023450,52,-0.014,-0.128,-0.14,0.052,하
KOSPI,023530,52,-0.012,-0.092,0.013,-0.223,하
KOSPI,023590,52,0.403,-0.045,0.251,0.044,상
KOSPI,023800,52,-0.019,0.06,-0.251,-0.058,하
KOSPI,023810,52,-0.076,0.193,-0.064,0.091,하
KOSPI,023960,52,0.36,-0.292,0.16,0.114,상
KOSPI,024070,52,-0.202,0.147,0.007,0.09,하
KOSPI,024090,52,0.275,-0.108,-0.22,-0.146,중
KOSPI,024110,52,0.308,0.303,0.161,0.002,상
KOSPI,024720,52,0.284,-0.196,-0.004,-0.043,상
KOSPI,024890,49,-0.241,0.433,-0.022,-0.49,하
KOSPI,024900,52,0.633,0.098,-0.222,0.07,상
KOSPI,025000,49,0.35,0.07,0.16,0.062,상
KOSPI,025530,52,0.012,0.251,-0.146,0.23,중
KOSPI,025540,52,0.177,0.075,-0.069,0.124,중
KOSPI,025560,51,-0.306,-0.052,-0.243,0.091,하
KOSPI,025620,52,-0.028,-0.016,-0.391,0.15,하
KOSPI,025750,49,-0.142,0.164,-0.004,0.009,하
KOSPI,025820,52,0.137,0.192,0.032,-0.005,중
KOSPI,025860,52,-0.074,-0.173,-0.411,0.006,하
KOSPI,025890,52,0.413,0.012,-0.008,-0.058,상
KOSPI,026890,52,-0.015,-0.263,-0.1,-0.103,하
KOSPI,026940,52,-0.062,0.01,-0.132,0.338,하
KOSPI,026960,52,0.046,0.007,0.187,0.026,중
KOSPI,027410,52,-0.018,-0.118,-0.268,-0.136,하
KOSPI,027740,49,-0.487,0.425,0.264,0.103,하
KOSPI,027970,52,-0.058,0.084,-0.023,0.138,하
KOSPI,028050,52,-0.088,-0.188,-0.298,-0.064,하
KOSPI,028100,52,0.427,-0.03,0.079,-0.243,상
KOSPI,028260,52,0.16,0.152,0.123,0.003,중
KOSPI,02826K,52,0.4,0.076,0.076,-0.007,상
KOSPI,028670,52,0.149,0.179,0.01,-0.271,중
KOSPI,029460,52,0.352,-0.03,-0.274,-0.101,상
KOSPI,029530,52,0.009,0.063,-0.073,0.096,중
KOSPI,029780,52,0.062,0.371,-0.077,0.211,중
KOSPI,030000,52,0.159,-0.001,-0.03,0.109,중
KOSPI,030190,52,-0.068,-0.081,0.106,-0.252,하
KOSPI,030200,52,-0.017,-0.052,0.034,0.317,하
KOSPI,030210,52,0.112,0.351,0.016,0.156,중
KOSPI,030610,52,0.127,0.219,0.054,0.023,중
KOSPI,030720,52,0.178,0.206,-0.439,-0.13,중
KOSPI,031210,52,-0.014,-0.3,-0.05,0.013,하
KOSPI,031430,52,0.354,-0.148,0.039,-0.083,상
KOSPI,031440,52,0.136,0.076,-0.068,0.103,중
KOSPI,031820,49,-0.206,0.134,0.108,0.134,하
KOSPI,032350,52,0.016,0.056,0.224,0.048,중
KOSPI,032560,52,0.247,0.289,0.297,0.032,중
KOSPI,032640,52,0.169,0.241,0.106,0.022,중
KOSPI,032830,52,-0.354,0.047,0.048,-0.104,하
KOSPI,033180,2,1.0,,,,
KOSPI,033240,52,0.216,-0.077,0.003,-0.22,중
KOSPI,033250,50,0.026,0.054,-0.228,0.218,중
KOSPI,033270,52,0.458,0.001,-0.016,-0.103,상
KOSPI,033530,52,-0.172,0.104,-0.234,0.069,하
KOSPI,033780,52,0.031,0.251,0.156,-0.044,중
KOSPI,033920,52,0.261,-0.125,-0.076,-0.239,중
KOSPI,034020,52,0.695,0.266,0.038,-0.001,상
KOSPI,034120,1,,,,,
KOSPI,034220,52,0.771,0.117,-0.138,-0.135,상
KOSPI,034230,52,-0.274,-0.024,0.266,0.107,하
KOSPI,034310,52,0.228,-0.062,-0.13,0.1,중
KOSPI,034590,52,0.364,0.151,0.127,-0.064,상
KOSPI,034730,52,0.133,0.019,0.181,-0.044,중
KOSPI,03473K,52,0.536,0.16,-0.098,-0.069,상
KOSPI,034830,52,0.387,0.262,0.04,-0.03,상
KOSPI,035000,52,0.61,0.179,-0.013,0.129,상
KOSPI,035150,52,0.327,0.05,0.038,0.038,상
KOSPI,035250,52,0.388,0.233,-0.122,-0.061,상
KOSPI,035420,52,0.006,-0.117,0.035,-0.09,중
KOSPI,035510,52,-0.382,0.144,-0.089,0.003,하
KOSPI,035720,52,0.721,-0.27,-0.188,0.279,상
KOSPI,036420,50,0.129,-0.196,-0.181,0.023,중
KOSPI,036460,52,0.557,0.184,-0.085,-0.148,상
KOSPI,036530,52,0.032,0.039,0.054,0.035,중
KOSPI,036570,52,0.188,-0.136,-0.127,0.026,중
KOSPI,036580,52,0.063,-0.085,0.015,-0.137,중
KOSPI,037270,52,-0.142,-0.052,0.028,0.012,하
KOSPI,037560,52,0.236,-0.086,-0.362,0.088,중
KOSPI,037710,52,-0.047,-0.018,0.153,-0.036,하
KOSPI,039130,52,0.429,0.128,-0.106,-0.16,상
KOSPI,039490,52,-0.135,0.202,0.136,0.216,하
KOSPI,039570,52,0.242,0.144,-0.149,0.075,중
KOSPI,041650,52,0.457,0.006,0.002,-0.109,상
KOSPI,042660,52,0.681,-0.003,-0.116,-0.033,상
KOSPI,042670,23,0.227,0.032,0.129,-0.205,
KOSPI,042700,52,0.646,0.106,-0.084,-0.061,상
KOSPI,044380,49,-0.201,0.17,-0.013,0.32,하
KOSPI,044450,52,0.011,0.065,-0.056,0.159,중
KOSPI,044820,52,-0.095,-0.118,-0.129,-0.045,하
KOSPI,047040,52,0.125,0.09,0.049,0.041,중
KOSPI,047050,52,0.291,0.154,-0.067,0.033,상
KOSPI,047400,52,-0.258,0.294,0.072,0.011,하
KOSPI,047810,52,0.07,-0.024,0.015,0.168,중
KOSPI,049770,0,,,,,
KOSPI,049800,52,0.426,-0.149,0.083,0.045,상
KOSPI,051600,52,0.379,0.149,-0.076,-0.045,상
KOSPI,051630,52,0.479,-0.207,0.007,-0.061,상
KOSPI,051900,52,0.366,0.043,0.062,0.053,상
KOSPI,051905,52,0.516,-0.073,-0.253,0.109,상
KOSPI,051910,52,0.621,-0.123,-0.053,-0.129,상
KOSPI,051915,52,0.525,-0.182,-0.109,-0.027,상
KOSPI,052690,52,0.563,0.324,-0.078,-0.124,상
KOSPI,053210,52,0.644,0.08,-0.182,-0.139,상
KOSPI,053690,52,0.037,0.027,-0.067,0.163,중
KOSPI,055490,52,0.179,0.154,0.058,-0.074,중
KOSPI,055550,52,0.039,0.081,0.329,-0.019,중
KOSPI,057050,49,0.215,0.339,0.317,0.033,중
KOSPI,058430,51,0.013,0.078,0.002,0.109,중
KOSPI,058650,52,0.162,0.126,-0.066,0.19,중
KOSPI,058730,52,-0.366,-0.064,-0.215,-0.234,하
KOSPI,058850,52,0.433,0.154,-0.21,0.084,상
KOSPI,058860,52,0.3,0.229,-0.028,-0.081,상
KOSPI,060980,52,0.253,0.248,0.117,0.064,중
KOSPI,062040,52,-0.049,-0.157,0.087,0.099,하
KOSPI,063160,52,0.041,0.305,-0.245,-0.087,중
KOSPI,064350,52,0.494,-0.078,-0.184,-0.219,상
KOSPI,064400,52,-0.114,0.023,-0.041,0.134,하
KOSPI,064960,52,0.015,0.21,0.34,-0.199,중
KOSPI,066570,52,-0.005,0.372,0.042,0.213,중
KOSPI,066575,52,-0.084,0.281,0.023,0.117,하
KOSPI,066970,52,0.043,0.083,-0.147,0.081,중
KOSPI,067830,52,-0.182,0.039,0.13,0.222,하
KOSPI,068270,52,0.446,-0.06,-0.122,0.009,상
KOSPI,068290,52,0.53,-0.059,-0.002,-0.156,상
KOSPI,069260,52,0.369,0.215,0.315,-0.045,상
KOSPI,069460,36,0.027,0.014,0.014,-0.022,
KOSPI,069620,52,0.127,0.117,0.237,0.085,중
KOSPI,069640,50,-0.195,-0.336,-0.32,0.017,하
KOSPI,069730,52,0.044,0.353,-0.074,0.262,중
KOSPI,069960,52,-0.536,-0.262,-0.131,0.085,하
KOSPI,070960,52,0.023,-0.088,-0.054,-0.128,중
KOSPI,071050,52,-0.386,0.158,0.324,0.113,하
KOSPI,071055,52,0.185,-0.17,-0.241,0.118,중
KOSPI,071090,52,-0.259,0.021,-0.058,-0.066,하
KOSPI,071320,52,0.585,-0.024,0.04,-0.019,상
KOSPI,071840,52,0.584,0.085,-0.122,-0.017,상
KOSPI,071950,51,-0.315,0.006,0.238,0.07,하
KOSPI,071970,52,0.041,0.136,0.178,0.065,중
KOSPI,072130,52,0.257,-0.064,-0.028,-0.124,중
KOSPI,072710,52,-0.523,0.144,0.087,0.177,하
KOSPI,073240,52,-0.009,0.001,-0.219,0.099,중
KOSPI,074610,0,,,,,
KOSPI,075180,52,0.18,0.078,-0.233,0.105,중
KOSPI,075580,52,-0.266,-0.116,0.056,0.028,하
KOSPI,077500,52,0.455,0.07,-0.128,0.202,상
KOSPI,077970,52,-0.218,0.224,0.038,-0.082,하
KOSPI,078000,52,-0.426,0.173,0.064,-0.047,하
KOSPI,078520,52,0.05,-0.377,-0.019,-0.143,중
KOSPI,078930,52,-0.121,0.046,-0.103,-0.02,하
KOSPI,078935,52,0.664,0.237,0.145,0.008,상
KOSPI,079160,52,0.685,0.09,-0.116,0.126,상
KOSPI,079430,52,-0.011,0.065,0.031,-0.118,하
KOSPI,079550,52,-0.408,0.1,0.016,-0.09,하
KOSPI,079900,52,0.065,-0.01,-0.306,0.053,중
KOSPI,079980,52,-0.297,0.072,0.16,0.077,하
KOSPI,081000,52,0.28,0.003,0.001,-0.043,중
KOSPI,081660,52,-0.203,0.294,-0.131,0.048,하
KOSPI,082640,52,0.193,-0.058,-0.027,-0.045,중
KOSPI,082740,52,0.271,0.035,0.092,-0.141,중
KOSPI,083420,52,0.469,0.161,-0.093,-0.092,상
KOSPI,084010,52,0.267,-0.042,-0.103,-0.037,중
KOSPI,084670,52,-0.141,0.17,0.019,0.098,하
KOSPI,084680,52,-0.468,-0.08,0.05,0.425,하
KOSPI,084690,52,0.354,-0.048,-0.137,-0.172,상
KOSPI,084695,42,-0.053,0.005,0.12,0.036,하
KOSPI,084870,52,0.249,-0.048,-0.032,0.261,중
KOSPI,085310,48,0.039,0.142,-0.208,0.212,중
KOSPI,085620,52,-0.35,-0.295,-0.096,0.038,하
KOSPI,086280,52,0.005,-0.004,0.07,-0.039,중
KOSPI,086790,52,0.062,-0.131,-0.028,0.042,중
KOSPI,088260,52,-0.134,-0.087,-0.195,-0.177,하
KOSPI,088350,52,0.272,-0.232,-0.141,0.016,중
KOSPI,088790,52,0.233,0.088,-0.137,-0.21,중
KOSPI,088980,52,0.72,0.036,-0.089,0.279,상
KOSPI,089470,52,-0.058,0.049,-0.23,0.256,하
KOSPI,089590,52,0.722,0.008,-0.157,0.122,상
KOSPI,089860,52,0.296,0.033,0.112,-0.147,상
KOSPI,090080,52,0.42,-0.067,0.044,-0.151,상
KOSPI,090350,52,0.127,0.296,-0.172,-0.04,중
KOSPI,090355,29,-0.298,-0.13,-0.276,0.083,
KOSPI,090370,52,-0.303,0.28,-0.183,-0.132,하
KOSPI,090430,52,0.484,0.063,0.118,-0.112,상
KOSPI,090435,52,0.197,0.105,0.161,0.012,중
KOSPI,090460,52,0.063,-0.069,-0.127,-0.022,중
KOSPI,091090,2,1.0,,,,
KOSPI,091810,50,0.538,-0.007,-0.087,0.103,상
KOSPI,092200,52,0.025,-0.065,-0.02,0.029,중
KOSPI,092220,50,-0.263,-0.035,-0.253,0.45,하
KOSPI,092230,52,0.193,0.354,0.014,0.011,중
KOSPI,092440,52,0.153,0.272,-0.108,0.06,중
KOSPI,092780,52,0.038,0.053,-0.129,-0.053,중
KOSPI,092790,52,0.246,-0.033,0.077,-0.153,중
KOSPI,093050,52,0.143,0.168,-0.032,-0.01,중
KOSPI,093230,2,1.0,,,,
KOSPI,093240,52,-0.241,0.176,-0.119,-0.063,하
KOSPI,093370,52,0.538,-0.296,0.007,-0.235,상
KOSPI,094280,52,0.545,-0.011,-0.145,0.057,상
KOSPI,094800,52,0.07,0.09,-0.228,-0.035,중
KOSPI,095570,52,0.406,-0.025,-0.161,-0.247,상
KOSPI,095720,50,-0.149,0.45,-0.158,0.253,하
KOSPI,096760,52,0.336,0.076,0.169,-0.092,상
KOSPI,096770,52,0.341,0.014,-0.315,-0.183,상
KOSPI,096775,52,0.396,0.03,-0.208,-0.177,상
KOSPI,097230,52,0.372,-0.046,0.036,0.05,상
KOSPI,097520,52,0.32,-0.012,0.043,-0.107,상
KOSPI,097950,52,0.66,0.079,-0.163,-0.101,상
KOSPI,097955,52,0.578,-0.075,0.067,-0.261,상
KOSPI,100090,52,-0.125,-0.048,0.104,0.308,하
KOSPI,100220,52,0.052,-0.18,0.001,0.138,중
KOSPI,100250,52,0.538,0.111,-0.055,-0.042,상
KOSPI,100840,52,0.036,0.029,-0.096,-0.008,중
KOSPI,101140,52,0.442,0.033,0.198,-0.013,상
KOSPI,101530,52,0.203,0.265,0.083,-0.011,중
KOSPI,102260,52,0.337,0.253,0.018,-0.079,상
KOSPI,102280,2,1.0,,,,
KOSPI,102460,52,0.242,-0.227,0.007,-0.125,중
KOSPI,103140,52,0.012,0.074,-0.072,-0.131,중
KOSPI,103590,52,0.035,0.28,0.147,-0.104,중
KOSPI,104700,52,0.3,-0.1,0.11,-0.044,상
KOSPI,105560,52,0.069,-0.024,0.09,0.218,중
KOSPI,105630,52,0.392,0.06,0.011,0.126,상
KOSPI,105840,52,0.099,0.273,-0.095,-0.015,중
KOSPI,107590,52,-0.331,0.095,0.022,0.008,하
KOSPI,108320,52,0.265,-0.087,-0.095,0.087,중
KOSPI,108670,52,0.417,-0.058,-0.206,-0.081,상
KOSPI,108675,52,-0.041,0.126,-0.105,0.017,하
KOSPI,109070,52,0.001,0.201,0.035,0.236,중
KOSPI,111110,52,0.474,0.092,-0.112,-0.063,상
KOSPI,111380,52,0.537,-0.093,0.003,-0.133,상
KOSPI,111770,52,-0.313,0.165,0.079,0.186,하
KOSPI,112610,52,0.247,-0.045,-0.101,0.013,중
KOSPI,114090,52,0.244,-0.221,-0.074,-0.006,중
KOSPI,117580,52,-0.407,-0.007,-0.005,-0.249,하
KOSPI,118000,49,-0.147,-0.261,0.232,-0.003,하
KOSPI,119650,0,,,,,
KOSPI,120030,52,-0.037,0.111,0.103,0.214,하
KOSPI,120110,52,-0.349,-0.194,-0.189,-0.116,하
KOSPI,120115,52,0.285,0.306,-0.017,-0.011,상
KOSPI,122900,52,0.514,0.105,-0.259,-0.043,상
KOSPI,123690,52,0.197,-0.024,0.003,0.011,중
KOSPI,123700,52,0.182,0.157,-0.133,0.195,중
KOSPI,123890,52,0.461,0.145,-0.044,-0.053,상
KOSPI,126560,52,0.247,0.274,0.021,0.061,중
KOSPI,126720,52,0.225,0.255,-0.115,0.144,중
KOSPI,128820,52,-0.038,-0.164,-0.427,0.379,하
KOSPI,128940,52,-0.238,0.211,0.029,-0.247,하
KOSPI,129260,52,0.175,0.166,0.079,0.104,중
KOSPI,130660,52,-0.054,0.14,-0.1,0.16,하
KOSPI,133820,52,-0.166,-0.058,0.267,0.216,하
KOSPI,134380,51,0.134,0.035,0.008,0.127,중
KOSPI,134790,52,-0.079,0.087,0.191,-0.048,하
KOSPI,136490,52,-0.014,0.274,0.028,0.046,하
KOSPI,137310,52,0.427,-0.092,-0.148,-0.263,상
KOSPI,138040,52,0.36,0.082,0.131,-0.023,상
KOSPI,138490,36,0.279,-0.05,0.065,0.034,
KOSPI,138930,52,0.126,0.323,0.253,-0.095,중
KOSPI,139130,52,0.014,0.192,0.306,-0.248,중
KOSPI,139480,52,0.098,0.082,0.141,-0.08,중
KOSPI,139990,52,0.083,0.242,0.227,0.408,중
KOSPI,140910,1,,,,,
KOSPI,143210,36,0.084,0.196,0.074,0.182,
KOSPI,145210,36,-0.384,-0.248,0.019,-0.05,
KOSPI,145270,52,0.109,-0.064,-0.168,-0.13,중
KOSPI,145720,52,0.304,-0.063,-0.307,0.126,상
KOSPI,145990,52,0.446,0.073,-0.054,-0.253,상
KOSPI,145995,12,0.359,0.025,-0.016,0.869,
KOSPI,152550,41,0.522,-0.093,-0.082,-0.124,상
KOSPI,155660,52,0.436,0.221,-0.089,0.117,상
KOSPI,161000,52,-0.163,0.045,-0.1,-0.039,하
KOSPI,161390,52,0.26,0.011,0.164,0.039,중
KOSPI,161890,52,-0.025,-0.192,0.089,-0.062,하
KOSPI,163560,52,0.503,0.066,-0.165,-0.088,상
KOSPI,170900,52,0.629,0.129,-0.189,-0.061,상
KOSPI,175330,52,-0.322,0.18,0.253,0.028,하
KOSPI,178920,52,0.22,0.158,-0.085,-0.168,중
KOSPI,180640,52,0.345,-0.13,-0.033,-0.093,상
KOSPI,18064K,52,0.315,-0.255,-0.058,-0.077,상
KOSPI,181710,52,0.086,-0.023,0.104,-0.117,중
KOSPI,183190,52,0.194,-0.018,-0.24,0.102,중
KOSPI,185750,52,0.325,0.021,0.38,-0.085,상
KOSPI,192080,52,-0.077,0.197,0.188,-0.079,하
KOSPI,192400,52,0.269,0.241,-0.008,0.147,중
KOSPI,192650,52,0.408,0.228,-0.232,0.319,상
KOSPI,192820,52,0.571,-0.168,0.036,0.011,상
KOSPI,194370,52,-0.023,-0.005,0.005,-0.063,하
KOSPI,195870,52,-0.048,0.073,-0.065,0.025,하
KOSPI,200880,52,0.359,-0.023,-0.179,-0.204,상
KOSPI,204210,1,,,,,
KOSPI,204320,52,-0.001,-0.183,-0.094,-0.165,중
KOSPI,207940,49,0.236,0.174,-0.005,0.149,중
KOSPI,210540,52,0.308,0.001,-0.125,0.079,상
KOSPI,210980,52,0.014,-0.051,-0.137,0.025,중
KOSPI,213500,52,0.33,0.203,-0.065,-0.032,상
KOSPI,214320,52,0.293,0.244,0.061,-0.147,상
KOSPI,214330,45,-0.324,0.422,0.207,0.31,하
KOSPI,214390,52,-0.451,-0.266,-0.057,-0.002,하
KOSPI,214420,52,0.107,0.244,-0.039,0.133,중
KOSPI,217590,30,0.135,-0.106,0.021,0.19,
KOSPI,226320,52,0.235,0.053,-0.047,0.125,중
KOSPI,227840,52,0.137,-0.051,0.034,-0.042,중
KOSPI,229640,52,0.129,0.304,0.116,-0.159,중
KOSPI,234080,52,0.425,0.18,-0.093,0.078,상
KOSPI,241560,52,0.159,0.148,0.117,0.144,중
KOSPI,241590,52,0.107,0.192,0.085,0.167,중
KOSPI,244920,52,0.231,-0.039,0.199,0.071,중
KOSPI,248070,52,-0.055,-0.003,-0.163,-0.331,하
KOSPI,248170,52,0.23,0.054,-0.001,-0.101,중
KOSPI,249420,52,0.554,-0.156,-0.055,-0.098,상
KOSPI,251270,52,0.165,-0.034,0.007,0.082,중
KOSPI,259960,52,-0.117,-0.021,-0.218,-0.182,하
KOSPI,264900,52,-0.013,0.459,-0.135,-0.196,하
KOSPI,26490K,52,-0.363,0.226,0.075,-0.155,하
KOSPI,267250,52,-0.024,-0.053,0.066,0.163,하
KOSPI,267260,52,0.162,0.156,0.33,0.162,중
KOSPI,267270,52,0.018,-0.088,0.045,-0.088,중
KOSPI,267290,52,0.348,-0.017,-0.345,-0.083,상
KOSPI,267850,52,0.198,0.111,0.02,0.113,중
KOSPI,268280,52,0.208,0.344,-0.233,-0.053,중
KOSPI,271560,52,0.384,0.171,0.136,-0.055,상
KOSPI,271940,52,0.349,0.006,0.164,-0.038,상
KOSPI,271980,52,0.298,0.356,-0.17,0.062,상
KOSPI,272210,52,0.444,0.123,0.165,0.123,상
KOSPI,272450,52,0.51,0.054,-0.336,0.207,상
KOSPI,272550,52,-0.21,0.393,-0.059,0.028,하
KOSPI,278470,52,0.374,-0.017,-0.01,0.045,상
KOSPI,279570,19,0.85,0.1,-0.252,0.032,
KOSPI,280360,52,0.291,0.014,-0.175,-0.114,상
KOSPI,281820,52,-0.066,-0.127,0.015,-0.116,하
KOSPI,282330,52,-0.174,-0.043,0.17,0.122,하
KOSPI,284740,52,0.014,0.044,-0.008,0.228,중
KOSPI,285130,52,0.079,0.111,0.04,0.022,중
KOSPI,28513K,52,-0.074,-0.243,-0.113,-0.04,하
KOSPI,286940,52,0.149,-0.106,0.13,0.055,중
KOSPI,293480,52,0.08,0.051,0.047,-0.068,중
KOSPI,293940,52,0.575,0.093,-0.318,0.104,상
KOSPI,294870,52,0.325,-0.051,-0.114,-0.011,상
KOSPI,298000,5,-0.937,0.485,0.784,,
KOSPI,298020,52,-0.021,-0.077,-0.151,-0.148,하
KOSPI,298040,52,0.064,-0.05,0.17,0.171,중
KOSPI,298050,52,0.58,-0.042,0.033,-0.149,상
KOSPI,298690,52,0.593,-0.155,-0.17,-0.097,상
KOSPI,300720,52,0.269,0.203,-0.232,0.142,중
KOSPI,302440,52,0.535,0.206,-0.115,0.137,상
KOSPI,306200,52,0.316,-0.115,-0.165,0.158,상
KOSPI,307950,52,-0.107,-0.218,-0.261,-0.095,하
KOSPI,308170,52,0.045,-0.394,0.232,-0.087,중
KOSPI,316140,52,-0.011,0.064,0.477,0.04,하
KOSPI,317400,52,0.326,0.088,0.059,-0.07,상
KOSPI,317450,41,0.508,-0.076,0.339,0.193,상
KOSPI,322000,52,0.299,-0.028,-0.156,-0.169,상
KOSPI,323410,52,0.365,0.117,0.185,-0.163,상
KOSPI,326030,52,0.371,0.008,0.033,0.026,상
